component,variable,metric_key,n_ob,n_events,null_median_low_to_high_delta_z,null_median_high_to_low_delta_z,null_median_direction_contrast_z,null_abs_median_direction_contrast_z,null_direction_contrast_sign_consistency,replicate
raw,tangential_speed_mean,raw__tangential_speed_mean,19,1471,0.10706776838635568,0.08547477070721621,-0.02677554617076322,0.02677554617076322,0.5789473684210527,92
affine_resid,tangential_speed_mean,affine_resid__tangential_speed_mean,19,1471,0.07513318096344879,0.011804171431976741,0.01725628540731919,0.01725628540731919,0.5263157894736842,92
affine_pred,velocity_cov_trace,affine_pred__velocity_cov_trace,19,1471,-0.02623591671707326,0.12858650763157395,0.010600436174787148,0.010600436174787148,0.5263157894736842,92
raw,mean_speed,raw__mean_speed,19,1471,-0.06894432748874085,0.03353008691645845,-0.13875545294354205,0.13875545294354205,0.6842105263157895,93
affine_pred,velocity_cov_trace,affine_pred__velocity_cov_trace,19,1471,0.0016049926946060666,0.09178831853115957,-0.1152053619386273,0.1152053619386273,0.7368421052631579,93
affine_resid,tangential_speed_mean,affine_resid__tangential_speed_mean,19,1471,-0.00040168138420579313,-0.1455059809040282,-0.090339325871723,0.090339325871723,0.5789473684210527,93
raw,speed_rms,raw__speed_rms,19,1471,-0.04451878975072726,0.07958313938315784,-0.08000225911822686,0.08000225911822686,0.631578947368421,93
affine_resid,velocity_cov_trace,affine_resid__velocity_cov_trace,19,1471,-0.0435149305405752,0.07149433827391571,-0.0681717440201316,0.0681717440201316,0.631578947368421,93
affine_resid,speed_rms,affine_resid__speed_rms,19,1471,-0.05459663811432214,0.04730752125918941,-0.05852210856791745,0.05852210856791745,0.631578947368421,93
affine_pred,tangential_speed_mean,affine_pred__tangential_speed_mean,19,1471,0.046110083149902614,0.07721864268030336,-0.04143264217003464,0.04143264217003464,0.5789473684210527,93
affine_resid,mean_speed,affine_resid__mean_speed,19,1471,-0.008731771533248889,0.05726859722674077,0.03111458261067404,0.03111458261067404,0.5263157894736842,93
raw,velocity_cov_trace,raw__velocity_cov_trace,19,1471,-0.01163102607070797,0.05238946301924963,-0.030679175869540998,0.030679175869540998,0.5263157894736842,93
affine_pred,mean_speed,affine_pred__mean_speed,19,1471,0.07640939963067711,-0.005118488584770316,0.022198392141578288,0.022198392141578288,0.631578947368421,93
raw,tangential_speed_mean,raw__tangential_speed_mean,19,1471,-0.037472515465508074,-0.005770660488017693,0.021897845037188945,0.021897845037188945,0.5263157894736842,93
affine_pred,speed_rms,affine_pred__speed_rms,19,1471,0.05917828218630625,-0.015757699555862203,-0.019761826889558576,0.019761826889558576,0.5263157894736842,93
affine_pred,speed_rms,affine_pred__speed_rms,19,1471,-0.10453783347649198,0.05209572111814853,-0.1810057251056732,0.1810057251056732,0.7894736842105263,94
affine_pred,tangential_speed_mean,affine_pred__tangential_speed_mean,19,1471,-0.02329182071082392,0.08778805321920594,-0.130647993693049,0.130647993693049,0.631578947368421,94
affine_pred,mean_speed,affine_pred__mean_speed,19,1471,-0.04660809209682769,0.05029403460159898,-0.1018377656826579,0.1018377656826579,0.6842105263157895,94
affine_resid,mean_speed,affine_resid__mean_speed,19,1471,-0.09639881671967143,-0.12285506513002908,0.09772288389945089,0.09772288389945089,0.5789473684210527,94
affine_pred,velocity_cov_trace,affine_pred__velocity_cov_trace,19,1471,0.03658828939756764,-0.04328474988245398,-0.07371648107501572,0.07371648107501572,0.631578947368421,94
raw,velocity_cov_trace,raw__velocity_cov_trace,19,1471,-0.0709186642348209,-0.10584160407190013,0.059670301537542436,0.059670301537542436,0.5263157894736842,94
affine_resid,tangential_speed_mean,affine_resid__tangential_speed_mean,19,1471,-0.047993406879824146,-0.17807670349804505,-0.040220209140055946,0.040220209140055946,0.5263157894736842,94
raw,tangential_speed_mean,raw__tangential_speed_mean,19,1471,-0.06079057806205679,-0.14277276541463046,0.03703267442819791,0.03703267442819791,0.5263157894736842,94
raw,speed_rms,raw__speed_rms,19,1471,-0.030503221598362884,-0.14520181283093725,0.029446031770358316,0.029446031770358316,0.5789473684210527,94
