variable,component,relative_time_sec,median_aligned_resid_z,q25_aligned_resid_z,q75_aligned_resid_z,n_events
velocity_cov_trace,affine_resid,0.3,0.09301330754739252,-0.5871735645384728,0.7608490322807999,1471
velocity_cov_trace,affine_resid,0.35,0.07603178338635296,-0.5774891766619819,0.7543019562929751,1471
velocity_cov_trace,affine_resid,0.4,0.019382885675490357,-0.6087516010727391,0.7514772585298717,1471
velocity_cov_trace,affine_resid,0.45,-0.031223905177180225,-0.6965614098026488,0.6153304424372921,1471
velocity_cov_trace,affine_resid,0.5,-0.06444901743538037,-0.7254984996353541,0.6061790116774514,1471
mean_speed,raw,-0.5,-0.01162952868801808,-0.6717635777201497,0.7075997525426733,1471
mean_speed,raw,-0.45,-0.0552005724744057,-0.7621410867987729,0.6361074113162669,1471
mean_speed,raw,-0.4,-0.11346733829290093,-0.7812048783098365,0.5466133648744381,1471
mean_speed,raw,-0.35,-0.14086634167908768,-0.8354254032717225,0.5609797887818703,1471
mean_speed,raw,-0.3,-0.1743678557917215,-0.8287797615952719,0.5105946340583736,1471
mean_speed,raw,-0.25,-0.20751134385747116,-0.8789877640068622,0.5214239836812319,1471
mean_speed,raw,-0.2,-0.19761156344168332,-0.8756387783687039,0.5141673972631695,1471
mean_speed,raw,-0.15,-0.19554007408836035,-0.8261669851277555,0.5103172390093961,1471
mean_speed,raw,-0.1,-0.12491000681558113,-0.8088302790402646,0.5673826061348378,1471
mean_speed,raw,-0.05,-0.056222311935700285,-0.7134717572994227,0.6566799276378876,1471
mean_speed,raw,-0.0,0.05330448350325297,-0.6412592000123363,0.6985935479770369,1471
mean_speed,raw,0.05,0.1394248159377632,-0.5461008534023869,0.8257795056909067,1471
mean_speed,raw,0.1,0.20995647528325131,-0.46033963909040515,0.8797590809077366,1471
mean_speed,raw,0.15,0.24921624335552955,-0.42086625460342486,0.8884346194401962,1471
mean_speed,raw,0.2,0.21197044888728617,-0.4816598643829989,0.8656599290839918,1471
mean_speed,raw,0.25,0.12616114658306798,-0.5425670892807348,0.8351829620768295,1471
mean_speed,raw,0.3,0.05198936332220806,-0.6293560153591108,0.7246171650621247,1471
mean_speed,raw,0.35,0.0694977165439686,-0.6007610613041471,0.689720280123956,1471
mean_speed,raw,0.4,0.05280607368189498,-0.6475352269902632,0.6767643929091851,1471
mean_speed,raw,0.45,-0.04016346646212929,-0.7341599502756577,0.6080510803120616,1471
mean_speed,raw,0.5,-0.10133879302540504,-0.7584717013876437,0.5717002272022698,1471
mean_speed,affine_pred,-0.5,-0.00503304906112245,-0.6902837033405784,0.6926678927353953,1471
mean_speed,affine_pred,-0.45,-0.041993555443001984,-0.6851649865470187,0.6733292826546415,1471
mean_speed,affine_pred,-0.4,-0.0386800053322085,-0.6495635271700284,0.624562264915599,1471
mean_speed,affine_pred,-0.35,-0.04494399526911792,-0.6753113631076118,0.6777376929880028,1471
mean_speed,affine_pred,-0.3,-0.044688099205754714,-0.7110425822790748,0.6734371022674495,1471
mean_speed,affine_pred,-0.25,-0.02486315334665328,-0.7441989161370882,0.6463079386837975,1471
mean_speed,affine_pred,-0.2,-0.06301465247345349,-0.7384559469094848,0.6203762378410226,1471
mean_speed,affine_pred,-0.15,-0.08669013331329016,-0.7731395830065199,0.6069888693355773,1471
mean_speed,affine_pred,-0.1,-0.06163487266775316,-0.7163001670651913,0.643274476822547,1471
mean_speed,affine_pred,-0.05,-0.03618199294551672,-0.7122531457956781,0.6049863878851993,1471
mean_speed,affine_pred,-0.0,0.04124336111308899,-0.6168261513197131,0.7022018941177478,1471
mean_speed,affine_pred,0.05,0.07628691817467206,-0.6062226267040973,0.7854950630495326,1471
mean_speed,affine_pred,0.1,0.08578149633014996,-0.5812493065143867,0.790057558153413,1471
mean_speed,affine_pred,0.15,0.12325324762343476,-0.552147274138328,0.7577313131020811,1471
mean_speed,affine_pred,0.2,0.05513573233320546,-0.6163626812665853,0.7324569347092974,1471
mean_speed,affine_pred,0.25,0.04027796640090639,-0.6519034386331918,0.692531635842994,1471
mean_speed,affine_pred,0.3,0.010352427508822298,-0.7023743389666985,0.6620048288896501,1471
mean_speed,affine_pred,0.35,-0.011547692976286794,-0.6860844022824517,0.6711505531823546,1471
mean_speed,affine_pred,0.4,-0.016034855171789444,-0.6688777281013459,0.6344402629119708,1471
mean_speed,affine_pred,0.45,-0.02059179397900405,-0.6925864010564032,0.6156126140859757,1471
