variable,family,n_ob,n_events,null_median_low_to_high_delta_z,null_median_high_to_low_delta_z,null_median_direction_contrast_z,null_abs_median_direction_contrast_z,null_direction_contrast_sign_consistency,replicate
resid_speed_rms,residual_intensity,19,1471,-0.006750198415421266,0.1480271914507966,-0.09351876866867609,0.09351876866867609,0.5789473684210527,45
resid_velocity_cov_trace,residual_intensity,19,1471,-0.010957179470536371,0.14749931339702416,-0.08864223898311765,0.08864223898311765,0.5789473684210527,45
radius_resid_speed_corr,edge_core,19,1471,0.022001402839350828,-0.03390969364979032,0.08527837058084414,0.08527837058084414,0.5263157894736842,45
resid_inward_fraction,radial,19,1471,-0.007331291939163265,0.07032824067274562,-0.07328974191989845,0.07328974191989845,0.631578947368421,45
resid_radial_abs_mean,radial,19,1471,-0.03394939617169148,-0.02447425827890659,0.06181009058418968,0.06181009058418968,0.5263157894736842,45
resid_tangential_fraction,tangential_swirl,19,1471,0.09673210327345194,0.08736147209372552,-0.04642532002315167,0.04642532002315167,0.631578947368421,45
resid_polarization,residual_order,19,1471,-0.07619478002708613,-0.024860070162525783,-0.04254750335907226,0.04254750335907226,0.5263157894736842,45
resid_tangential_speed_mean,tangential_swirl,19,1471,0.07458990937915633,0.023160388566432766,0.04017198249078731,0.04017198249078731,0.6842105263157895,45
edge_minus_core_resid_tangential,edge_core,19,1471,0.04184506993183191,-0.04483064888603211,0.02735011684509192,0.02735011684509192,0.5263157894736842,45
resid_radial_velocity_mean,radial,19,1471,-0.08202369598410347,-0.11885370345853416,0.019290136708955116,0.019290136708955116,0.5789473684210527,45
radius_resid_tangential_corr,edge_core,19,1471,0.05415993543794673,0.06909104834782903,-0.01345548806647287,0.01345548806647287,0.5263157894736842,45
resid_inward_fraction,radial,19,1471,0.015022954545454686,0.17962868861410547,-0.24805843776280767,0.24805843776280767,0.631578947368421,46
edge_minus_core_resid_speed,edge_core,19,1471,0.13157483381733046,-0.010372375714449544,0.1481142260874489,0.1481142260874489,0.631578947368421,46
radius_resid_tangential_corr,edge_core,19,1471,0.09854055036792171,0.01614990525541804,0.1399398010592,0.1399398010592,0.5263157894736842,46
edge_minus_core_resid_tangential,edge_core,19,1471,0.12500323625096482,0.04068358164076934,0.11488572675625691,0.11488572675625691,0.5789473684210527,46
resid_radial_velocity_mean,radial,19,1471,-0.08086031201792537,-0.07204553762341148,0.11345710332733015,0.11345710332733015,0.5789473684210527,46
radius_resid_speed_corr,edge_core,19,1471,0.05630713922169282,0.07940832846426438,0.08160984669413797,0.08160984669413797,0.5263157894736842,46
resid_speed_rms,residual_intensity,19,1471,0.032447838640241936,-0.035193140991841745,-0.04857536598616033,0.04857536598616033,0.5263157894736842,46
resid_polarization,residual_order,19,1471,-0.07171287286462835,-0.027773010404612483,-0.04596604695926121,0.04596604695926121,0.5263157894736842,46
resid_tangential_fraction,tangential_swirl,19,1471,0.09604036271798921,0.10665101744353477,-0.043188988083267044,0.043188988083267044,0.5789473684210527,46
resid_velocity_cov_trace,residual_intensity,19,1471,0.024851171696377093,-0.018641020906537353,-0.039378575127762355,0.039378575127762355,0.5263157894736842,46
resid_radial_abs_mean,radial,19,1471,-0.12099525975831849,-0.09266946266518233,-0.035149998406509744,0.035149998406509744,0.5789473684210527,46
resid_tangential_speed_mean,tangential_swirl,19,1471,0.10298818449742891,-0.027122648855333387,0.016793602264182972,0.016793602264182972,0.631578947368421,46
radius_resid_speed_corr,edge_core,19,1471,0.03208012440128993,-0.13239572196100402,0.1534218153668139,0.1534218153668139,0.7368421052631579,47
resid_speed_rms,residual_intensity,19,1471,0.11814741915887023,0.014130000695587355,0.14776745463086555,0.14776745463086555,0.7368421052631579,47
resid_velocity_cov_trace,residual_intensity,19,1471,0.10693202658810438,0.007924166078481454,0.13817283437159847,0.13817283437159847,0.7368421052631579,47
resid_tangential_speed_mean,tangential_swirl,19,1471,0.16854855289949594,0.004621514157964968,0.10420443063439998,0.10420443063439998,0.5263157894736842,47
resid_polarization,residual_order,19,1471,-0.0474443883267881,0.12165828861349048,-0.09672031313411619,0.09672031313411619,0.631578947368421,47
edge_minus_core_resid_tangential,edge_core,19,1471,-0.06878322191455286,0.09101462179479514,-0.08085158996547209,0.08085158996547209,0.6842105263157895,47
resid_tangential_fraction,tangential_swirl,19,1471,0.01865981751902096,0.10784967026469912,-0.04767317118855302,0.04767317118855302,0.631578947368421,47
resid_radial_velocity_mean,radial,19,1471,-0.02039871018991716,0.022094215287680803,-0.036118729100106745,0.036118729100106745,0.5263157894736842,47
edge_minus_core_resid_speed,edge_core,19,1471,-0.02416187230821238,-0.07419734513799892,-0.02323344280719758,0.02323344280719758,0.5263157894736842,47
resid_radial_abs_mean,radial,19,1471,-0.11641810363661714,0.0002710717707360699,0.01907542338122316,0.01907542338122316,0.5789473684210527,47
radius_resid_tangential_corr,edge_core,19,1471,0.018510583935760966,-0.026111450950932428,-0.009537969870310775,0.009537969870310775,0.5263157894736842,47
resid_inward_fraction,radial,19,1471,0.012973792139750057,-0.001895401672793895,0.004343810932064762,0.004343810932064762,0.5263157894736842,47
resid_inward_fraction,radial,19,1470,0.005284860795454482,0.039226781242090114,0.10420849004659577,0.10420849004659577,0.5263157894736842,48
radius_resid_speed_corr,edge_core,19,1469,0.050482643699158086,-0.0653205025970687,0.07346114660743353,0.07346114660743353,0.5263157894736842,48
radius_resid_tangential_corr,edge_core,19,1469,0.04508750921369126,-0.0085392338376151,0.06737609787389293,0.06737609787389293,0.5789473684210527,48
edge_minus_core_resid_speed,edge_core,19,1470,0.013864745082619201,0.037558142983151716,-0.05171871966485936,0.05171871966485936,0.631578947368421,48
edge_minus_core_resid_tangential,edge_core,19,1470,0.007134832930309264,-0.0340135815897436,0.04926821932146086,0.04926821932146086,0.5263157894736842,48
resid_radial_abs_mean,radial,19,1469,-0.03861762929747031,-0.0006847871729430896,-0.04367997259455375,0.04367997259455375,0.5263157894736842,48
resid_speed_rms,residual_intensity,19,1470,0.11954774128449847,0.07749309581840867,0.030388616375232103,0.030388616375232103,0.5789473684210527,48
resid_tangential_fraction,tangential_swirl,19,1469,0.06313372018601204,0.04186752483745264,0.024290581630472097,0.024290581630472097,0.5263157894736842,48
resid_velocity_cov_trace,residual_intensity,19,1470,0.12821847891585453,0.08547036867230551,0.022594751599327,0.022594751599327,0.5789473684210527,48
resid_tangential_speed_mean,tangential_swirl,19,1470,0.003282788300667777,0.025232644545272073,0.014736223350003186,0.014736223350003186,0.5263157894736842,48
resid_radial_velocity_mean,radial,19,1469,-0.03633405966512615,-0.07658941583484255,0.00475565696564418,0.00475565696564418,0.5263157894736842,48
resid_polarization,residual_order,19,1469,-0.024142974507954496,0.026180458923114047,0.004681595261141758,0.004681595261141758,0.5263157894736842,48
resid_tangential_speed_mean,tangential_swirl,19,1470,0.11850604492876643,-0.0714202630884403,0.11713362639050251,0.11713362639050251,0.5263157894736842,49
resid_polarization,residual_order,19,1470,0.07731840021822989,-0.059491447333405056,0.11315529384564649,0.11315529384564649,0.5263157894736842,49
resid_speed_rms,residual_intensity,19,1470,0.02556671862312898,-0.0648091281496579,0.11061662984576909,0.11061662984576909,0.631578947368421,49
edge_minus_core_resid_speed,edge_core,19,1470,0.03888692138532478,0.09869215679065385,-0.0991568165091643,0.0991568165091643,0.5789473684210527,49
resid_velocity_cov_trace,residual_intensity,19,1470,0.02891272902214015,-0.06870565859503606,0.08651794441593663,0.08651794441593663,0.631578947368421,49
