ob,k,lag_sec,axis,source,n_events,b3_event_direction_abs_z,local_event_direction_abs_z,local_non_event_direction_abs_median_z,local_event_minus_non_event_direction_z,p_non_event_direction_ge_event,local_to_b3_direction_ratio,event_conditioned_local_gate,geometry_ladder_reading
14,8,0.05,timing,computed_4082,47,0.6038757035705223,0.6093885449600407,0.20177389739159468,0.407614647568446,0.075,1.0091290995099202,True,local_nonaffine_signal_survives_pilot
14,8,0.15,timing,computed_4082,47,0.6038757035705223,0.9612022062431568,0.28285288196742675,0.67834932427573,0.0,1.5917219397301101,True,local_nonaffine_signal_survives_pilot
15,8,0.1,both,cached_4081c,96,0.5893167557311114,1.0626864350026124,0.2419641014181535,0.8207223335844589,0.0,1.8032516887870165,True,local_nonaffine_signal_survives_pilot
15,6,0.1,scale,computed_4082,96,0.5893167557311114,0.9192307111067292,0.13172882330248162,0.7875018878042476,0.0,1.5598244953451623,True,local_nonaffine_signal_survives_pilot
15,10,0.1,scale,cached_4081c,96,0.5893167557311114,0.7406178664252892,0.1723176417158518,0.5683002247094373,0.0,1.2567398758354873,True,local_nonaffine_signal_survives_pilot
15,12,0.1,scale,computed_4082,96,0.5893167557311114,0.8745379185187127,0.2214861249543817,0.653051793564331,0.0,1.4839861755394235,True,local_nonaffine_signal_survives_pilot
15,8,0.05,timing,computed_4082,96,0.5893167557311114,1.0217618503539214,0.1872216844010173,0.8345401659529041,0.0,1.7338075668429196,True,local_nonaffine_signal_survives_pilot
15,8,0.15,timing,computed_4082,96,0.5893167557311114,0.8755679789454542,0.21065054504263975,0.6649174339028145,0.0,1.4857340647971515,True,local_nonaffine_signal_survives_pilot
16,8,0.1,both,cached_4081c,84,0.3264679931626064,0.513717177730975,0.1991922980962526,0.3145248796347224,0.075,1.5735606199995968,True,local_nonaffine_signal_survives_pilot
16,6,0.1,scale,computed_4082,84,0.3264679931626064,0.7968176454109674,0.21624908521238811,0.5805685601985793,0.0,2.4407220986410465,True,local_nonaffine_signal_survives_pilot
16,10,0.1,scale,cached_4081c,84,0.3264679931626064,0.9728155726934072,0.2074827748263034,0.7653327978671038,0.0,2.979819134088497,True,local_nonaffine_signal_survives_pilot
16,12,0.1,scale,computed_4082,84,0.3264679931626064,0.7563264126490892,0.1855137331042303,0.5708126795448589,0.0,2.3166939133061657,True,local_nonaffine_signal_survives_pilot
16,8,0.05,timing,computed_4082,84,0.3264679931626064,0.557669413542085,0.2597035583871256,0.2979658551549594,0.075,1.708190160204533,True,local_nonaffine_signal_survives_pilot
16,8,0.15,timing,computed_4082,84,0.3264679931626064,0.7444467479619374,0.21980390759998258,0.5246428403619549,0.0,2.2803054619542604,True,local_nonaffine_signal_survives_pilot
17,8,0.1,both,cached_4081c,122,0.1977215659092765,0.354554620622092,0.1516936532388404,0.20286096738325157,0.1,1.793201560950501,True,local_nonaffine_signal_survives_pilot
17,6,0.1,scale,computed_4082,122,0.1977215659092765,0.24396418722874857,0.15934097112121381,0.08462321610753476,0.275,1.2338774786999727,True,local_nonaffine_signal_survives_pilot
17,10,0.1,scale,cached_4081c,122,0.1977215659092765,0.4375162260335332,0.182910971071862,0.2546052549616712,0.15,2.2127896065434016,True,local_nonaffine_signal_survives_pilot
17,12,0.1,scale,computed_4082,122,0.1977215659092765,0.10695923944234707,0.2022177458789597,-0.09525850643661261,0.75,0.5409588931306804,False,local_nonaffine_not_event_conditioned
17,8,0.05,timing,computed_4082,122,0.1977215659092765,0.34416064221661363,0.21659469600510395,0.12756594621150968,0.25,1.7406327965990818,True,local_nonaffine_signal_survives_pilot
17,8,0.15,timing,computed_4082,122,0.1977215659092765,0.5008455731523895,0.18324969932989935,0.3175958738224902,0.1,2.53308520418152,True,local_nonaffine_signal_survives_pilot
18,8,0.1,both,cached_4081c,103,0.6420142209489225,0.4189879507240506,0.1935855631684878,0.2254023875555628,0.15,0.6526147506589025,True,local_nonaffine_signal_survives_pilot
18,6,0.1,scale,computed_4082,103,0.6420142209489225,0.3260607900276333,0.18462790191772446,0.1414328881099088,0.175,0.5078716006410302,True,local_nonaffine_signal_survives_pilot
