partition_id,ulam_cell,spectral_set,eigenvector_value,stationary_mass
eig5,45,low,-0.22347962591320095,0.0008341381757460312
eig5,46,low,-0.15594887277996883,0.0005798623982579924
eig5,47,low,-0.12539718234886976,0.00043073820538795454
eig5,52,low,-0.06422747036318756,0.011073085690855527
eig5,53,low,-0.0830864830027361,0.01255620946763303
eig5,54,low,-0.10528739587121284,0.01426262496217549
eig5,55,low,-0.07405722037208512,0.011185875553104296
eig5,56,low,-0.31118800692315446,0.0008463992173820203
eig5,57,low,-0.28236195510204354,0.001050119732678011
eig5,58,low,-0.274926380456092,0.0008134223893378694
eig5,59,low,-0.25762973030678255,0.0004967088784311212
eig5,0,high,-0.013274627815337314,5.9828942372347566e-05
eig5,1,high,-0.026511612174189434,9.279402229978705e-05
eig5,2,high,-0.00853205673099398,4.490730063231745e-05
eig5,3,high,-0.025080359083387394,0.000264090509340777
eig5,4,high,-0.023316490750360967,0.0007846576568644643
eig5,7,high,-0.029647903773578167,0.0014264112508402269
eig5,8,high,0.021904535477166164,0.011073471488972513
eig5,9,high,0.0075639979642028,0.010398455083881236
eig5,10,high,-0.010551376740949494,0.011100764292794017
eig5,11,high,-0.013413276766466633,0.011583966862284424
eig5,12,high,0.17367541150361268,0.060200244695915325
eig5,13,high,0.1544105532550592,0.05449408107948037
eig5,14,high,0.12717085483579066,0.04562463736233713
eig5,15,high,0.12126921256443095,0.039841115847940416
eig5,16,high,0.008709735234116167,0.0011214091463925924
eig5,17,high,0.012716897660131735,0.0011911736250499632
eig5,18,high,0.006991621689133435,0.001205604384792794
eig5,19,high,-0.001770353573416099,0.002737026259580325
eig5,32,high,0.04168180821634721,0.008926489217757218
eig5,33,high,0.022311285379990664,0.010011675493634551
eig5,34,high,0.017371806438859126,0.011158378272628253
eig5,35,high,0.00821998116403212,0.015491125173233828
eig5,48,high,0.17793116789606514,0.036694007350708074
eig5,49,high,0.16246874884478965,0.04413042237914341
eig5,50,high,0.1346890193918848,0.05373473154749058
eig5,51,high,0.10829084940711671,0.06341144436331773
