spectral_set,run_frames,run_duration_sec,partition_id,ob,dataset
low,15,0.1499999999999955,eig2,1,Ob1.txt
high,36,0.3599999999999892,eig2,1,Ob1.txt
low,4,0.0399999999999988,eig2,1,Ob1.txt
high,21,0.2099999999999937,eig2,1,Ob1.txt
low,4,0.0399999999999988,eig2,1,Ob1.txt
high,4,0.0399999999999988,eig2,1,Ob1.txt
low,7,0.0699999999999979,eig2,1,Ob1.txt
high,1,0.0099999999999997,eig2,1,Ob1.txt
low,1,0.0099999999999997,eig2,1,Ob1.txt
high,1,0.0099999999999997,eig2,1,Ob1.txt
low,1,0.0099999999999997,eig2,1,Ob1.txt
high,4,0.0399999999999988,eig2,1,Ob1.txt
low,108,1.0799999999999677,eig2,1,Ob1.txt
high,15,0.1499999999999955,eig2,1,Ob1.txt
low,5,0.049999999999998504,eig2,1,Ob1.txt
high,39,0.3899999999999883,eig2,1,Ob1.txt
low,5,0.049999999999998504,eig2,1,Ob1.txt
high,8,0.0799999999999976,eig2,1,Ob1.txt
low,71,0.7099999999999788,eig2,1,Ob1.txt
high,74,0.7399999999999778,eig2,1,Ob1.txt
low,52,0.5199999999999844,eig2,1,Ob1.txt
high,2,0.0199999999999994,eig2,1,Ob1.txt
low,4,0.0399999999999988,eig2,1,Ob1.txt
high,9,0.0899999999999973,eig2,1,Ob1.txt
low,6,0.0599999999999982,eig2,1,Ob1.txt
high,1,0.0099999999999997,eig2,1,Ob1.txt
low,1,0.0099999999999997,eig2,1,Ob1.txt
high,108,1.0799999999999677,eig2,1,Ob1.txt
low,46,0.4599999999999862,eig2,1,Ob1.txt
high,28,0.2799999999999916,eig2,1,Ob1.txt
low,11,0.1099999999999967,eig2,1,Ob1.txt
high,3,0.0299999999999991,eig2,1,Ob1.txt
low,3,0.0299999999999991,eig2,1,Ob1.txt
high,1,0.0099999999999997,eig2,1,Ob1.txt
low,34,0.3399999999999898,eig2,1,Ob1.txt
high,75,0.7499999999999775,eig2,1,Ob1.txt
low,2,0.0199999999999994,eig2,1,Ob1.txt
high,7,0.0699999999999979,eig2,1,Ob1.txt
low,1,0.0099999999999997,eig2,1,Ob1.txt
high,10,0.09999999999999701,eig2,1,Ob1.txt
low,85,0.8499999999999746,eig2,1,Ob1.txt
high,3,0.0299999999999991,eig2,1,Ob1.txt
low,4,0.0399999999999988,eig2,1,Ob1.txt
high,3,0.0299999999999991,eig2,1,Ob1.txt
low,1,0.0099999999999997,eig2,1,Ob1.txt
high,2,0.0199999999999994,eig2,1,Ob1.txt
low,2,0.0199999999999994,eig2,1,Ob1.txt
high,4,0.0399999999999988,eig2,1,Ob1.txt
low,5,0.049999999999998504,eig2,1,Ob1.txt
high,50,0.499999999999985,eig2,1,Ob1.txt
low,4,0.0399999999999988,eig2,1,Ob1.txt
high,2,0.0199999999999994,eig2,1,Ob1.txt
low,2,0.0199999999999994,eig2,1,Ob1.txt
high,5,0.049999999999998504,eig2,1,Ob1.txt
low,22,0.2199999999999934,eig2,1,Ob1.txt
high,8,0.0799999999999976,eig2,1,Ob1.txt
low,146,1.4599999999999562,eig2,1,Ob1.txt
high,1,0.0099999999999997,eig2,1,Ob1.txt
low,1,0.0099999999999997,eig2,1,Ob1.txt
high,1,0.0099999999999997,eig2,1,Ob1.txt
low,3,0.0299999999999991,eig2,1,Ob1.txt
high,11,0.1099999999999967,eig2,1,Ob1.txt
