partition_id,ob,dataset,spectral_set,mass,known_fraction,lag_frames,actual_lag_sec,origin_count,retained_count,retention,retention_lift
eig2,14,Ob14.txt,high,0.5013757566661664,1.0,10,0.09999999999998,10022,8743,0.8723807623228896,0.37100500565672323
eig2,15,Ob15.txt,low,0.4972735004252339,1.0,10,0.09999999999998,9930,8758,0.8819738167170191,0.38470031629178525
eig2,15,Ob15.txt,high,0.5027264995747661,1.0,10,0.09999999999998,10049,8877,0.8833714797492288,0.3806449801744627
eig2,16,Ob16.txt,low,0.49997498624243336,1.0,10,0.09999999999998,9994,8514,0.8519111466880128,0.35193616044557946
eig2,16,Ob16.txt,high,0.5000250137575667,1.0,10,0.09999999999998,9985,8515,0.8527791687531296,0.35275415499556295
eig2,17,Ob17.txt,low,0.5001000500250125,1.0,10,0.09999999999998,9987,8994,0.9005707419645539,0.40047069193954143
eig2,17,Ob17.txt,high,0.4998999499749875,1.0,10,0.09999999999998,9993,9000,0.9006304413089162,0.40073049133392874
eig2,18,Ob18.txt,low,0.49907449097003354,1.0,10,0.09999999999998,9976,8833,0.8854250200481155,0.386350529078082
eig2,18,Ob18.txt,high,0.5009255090299665,1.0,10,0.09999999999998,10003,8860,0.8857342797160852,0.38480877068611874
eig2,19,Ob19.txt,low,0.49899966655551853,1.0,10,0.09999999999998,14965,13118,0.8765786835950551,0.37757901703953656
eig2,19,Ob19.txt,high,0.5010003334444815,1.0,10,0.09999999999998,15015,13170,0.8771228771228772,0.3761225436783957
eig3,1,Ob1.txt,low,0.5028665028665029,1.0,10,0.09999999999999701,5526,4712,0.8526963445530221,0.3498298416865192
eig3,1,Ob1.txt,high,0.49713349713349714,1.0,10,0.09999999999999701,5453,4649,0.8525582248303686,0.35542472769687145
eig3,2,Ob2.txt,low,0.5016488323574938,1.0,10,0.09999999999999701,7454,5973,0.8013147303461229,0.2996658979886291
eig3,2,Ob2.txt,high,0.4983511676425062,1.0,10,0.09999999999999701,7395,5920,0.8005409060175794,0.30218973837507324
eig3,3,Ob3.txt,low,0.500266844563042,1.0,10,0.09999999999999701,7498,6298,0.8399573219525207,0.33969047738947866
eig3,3,Ob3.txt,high,0.49973315543695795,1.0,10,0.09999999999999701,7482,6291,0.8408179631114675,0.34108480767450955
eig3,4,Ob4.txt,low,0.5,1.0,10,0.09999999999999701,7476,6424,0.8592830390583199,0.35928303905831993
eig3,4,Ob4.txt,high,0.5,1.0,10,0.09999999999999701,7466,6422,0.8601660862577016,0.36016608625770163
eig3,5,Ob5.txt,low,0.4999665708363977,1.0,10,0.09999999999999701,7468,6093,0.8158810926620247,0.315914521825627
eig3,5,Ob5.txt,high,0.5000334291636023,1.0,10,0.09999999999999701,7479,6100,0.8156170611044258,0.3155836319408235
eig3,6,Ob6.txt,low,0.5,1.0,10,0.09999999999998,9985,8622,0.8634952428642965,0.36349524286429646
eig3,6,Ob6.txt,high,0.5,1.0,10,0.09999999999998,9995,8632,0.863631815907954,0.363631815907954
eig3,7,Ob7.txt,low,0.4996496847162446,1.0,10,0.09999999999999701,4992,4173,0.8359375,0.3362878152837554
eig3,7,Ob7.txt,high,0.5003503152837554,1.0,10,0.09999999999999701,4989,4180,0.8378432551613549,0.33749293987759954
eig3,8,Ob8.txt,low,0.4999736689662436,1.0,10,0.09999999999998,9494,7960,0.8384242679587107,0.3384505989924671
eig3,8,Ob8.txt,high,0.5000263310337564,1.0,10,0.09999999999998,9485,7951,0.8382709541381128,0.33824462310435643
eig3,9,Ob9.txt,low,0.50463149416029,1.0,10,0.09999999999999701,5011,4034,0.8050289363400519,0.30039744217976194
eig3,9,Ob9.txt,high,0.49536850583971004,1.0,10,0.09999999999999701,4911,3933,0.8008552229688455,0.30548671712913544
eig3,10,Ob10.txt,low,0.5006004002668446,1.0,10,0.09999999999999701,7504,6097,0.8125,0.3118995997331554
eig3,10,Ob10.txt,high,0.49939959973315545,1.0,10,0.09999999999999701,7476,6069,0.8117977528089888,0.31239815307583335
eig3,11,Ob11.txt,low,0.49997498624243336,1.0,10,0.09999999999998,9994,8592,0.8597158294976986,0.3597408432552653
eig3,11,Ob11.txt,high,0.5000250137575667,1.0,10,0.09999999999998,9985,8593,0.8605908863294942,0.3605658725719275
eig3,12,Ob12.txt,low,0.5012256741207665,1.0,10,0.09999999999998,10010,8188,0.817982017982018,0.3167563438612515
eig3,12,Ob12.txt,high,0.4987743258792336,1.0,10,0.09999999999998,9969,8148,0.8173337345771893,0.3185594086979557
eig3,13,Ob13.txt,low,0.5008254539996998,1.0,10,0.09999999999998,10001,8363,0.8362163783621638,0.335390924362464
eig3,13,Ob13.txt,high,0.49917454600030015,1.0,10,0.09999999999998,9978,8339,0.8357386249749449,0.33656407897464474
eig3,14,Ob14.txt,low,0.5015258392115663,1.0,10,0.09999999999998,10015,8423,0.8410384423364953,0.3395126031249289
eig3,14,Ob14.txt,high,0.49847416078843365,1.0,10,0.09999999999998,9964,8372,0.8402248093135287,0.34175064852509507
eig3,15,Ob15.txt,low,0.49997498624243336,1.0,10,0.09999999999998,9994,8615,0.8620172103261957,0.36204222408376235
eig3,15,Ob15.txt,high,0.5000250137575667,1.0,10,0.09999999999998,9985,8606,0.8618928392588884,0.3618678255013217
eig3,16,Ob16.txt,low,0.49997498624243336,1.0,10,0.09999999999998,9994,8649,0.8654192515509306,0.3654442653084972
eig3,16,Ob16.txt,high,0.5000250137575667,1.0,10,0.09999999999998,9985,8640,0.8652979469203805,0.36527293316281384
eig3,17,Ob17.txt,low,0.5001000500250125,1.0,10,0.09999999999998,9996,8810,0.8813525410164066,0.38125249099139413
eig3,17,Ob17.txt,high,0.4998999499749875,1.0,10,0.09999999999998,9984,8797,0.8811097756410257,0.38120982566603817
eig3,18,Ob18.txt,low,0.5010755915753664,1.0,10,0.09999999999998,10007,8483,0.8477066053762367,0.34663101380087025
eig3,18,Ob18.txt,high,0.49892440842463354,1.0,10,0.09999999999998,9972,8445,0.8468712394705175,0.3479468310458839
eig3,19,Ob19.txt,low,0.5003667889296433,1.0,10,0.09999999999998,14996,12795,0.8532275273406241,0.35286073841098087
