lag_sec,ob,dataset,spectral_set,mass,origin_count,retained_count,retention,retention_lift
0.2,18,Ob18.txt,low,0.49907449097003354,9971,8139,0.8162671748069401,0.3171926838369066
0.2,18,Ob18.txt,high,0.5009255090299665,9998,8161,0.8162632526505301,0.31533774362056366
0.2,19,Ob19.txt,low,0.49899966655551853,14965,12146,0.8116271299699298,0.3126274634144113
0.2,19,Ob19.txt,high,0.5010003334444815,15005,12188,0.8122625791402865,0.3112622456958051
0.5,1,Ob1.txt,low,0.4993174993174993,5452,3816,0.6999266324284666,0.20060913311096734
0.5,1,Ob1.txt,high,0.5006825006825006,5487,3816,0.6954620010934938,0.19477950041099312
0.5,2,Ob2.txt,low,0.502725620835857,7435,5170,0.695359784801614,0.19263416396575694
0.5,2,Ob2.txt,high,0.49727437916414297,7374,5124,0.6948738812042311,0.19759950204008814
0.5,3,Ob3.txt,low,0.4999332888592395,7444,4914,0.6601289629231596,0.1601956740639201
0.5,3,Ob3.txt,high,0.5000667111407605,7496,4944,0.6595517609391676,0.15948504979840705
0.5,4,Ob4.txt,low,0.5,7426,5347,0.7200377053595476,0.2200377053595476
0.5,4,Ob4.txt,high,0.5,7476,5347,0.7152220438737292,0.21522204387372923
0.5,5,Ob5.txt,low,0.4999665708363977,7472,4901,0.6559154175588865,0.15594884672248882
0.5,5,Ob5.txt,high,0.5000334291636023,7435,4858,0.6533960995292535,0.1533626703656512
0.5,6,Ob6.txt,low,0.5,9985,6987,0.699749624436655,0.199749624436655
0.5,6,Ob6.txt,high,0.5,9955,6947,0.6978402812656956,0.19784028126569564
0.5,7,Ob7.txt,low,0.501251126013412,4958,3188,0.6430012101653892,0.1417500841519772
0.5,7,Ob7.txt,high,0.4987488739865879,4983,3210,0.6441902468392534,0.1454413728526655
0.5,8,Ob8.txt,low,0.4990784138185265,9477,6365,0.6716260419964124,0.17254762817788588
0.5,8,Ob8.txt,high,0.5009215861814735,9462,6363,0.6724793912492073,0.17155780506773377
0.5,9,Ob9.txt,low,0.49496576721707614,4866,3442,0.707357172215372,0.21239140499829584
0.5,9,Ob9.txt,high,0.5050342327829239,5016,3592,0.7161084529505582,0.21107422016763433
0.5,10,Ob10.txt,low,0.5002001334222815,7469,5185,0.6942027045119828,0.19400257108970131
0.5,10,Ob10.txt,high,0.49979986657771847,7471,5198,0.6957569267835632,0.1959570602058447
0.5,11,Ob11.txt,low,0.4994747110911001,9934,6638,0.668210187235756,0.1687354761446559
0.5,11,Ob11.txt,high,0.5005252889088999,10005,6688,0.6684657671164418,0.16794047820754188
0.5,12,Ob12.txt,low,0.5049777377557657,10057,6919,0.6879785224221935,0.18300078466642777
0.5,12,Ob12.txt,high,0.49502226224423435,9882,6707,0.678708763408217,0.1836865011639826
0.5,13,Ob13.txt,low,0.49997498624243336,9985,6758,0.6768152228342513,0.17684023659181797
0.5,13,Ob13.txt,high,0.5000250137575667,9954,6768,0.6799276672694394,0.17990265351187273
0.5,14,Ob14.txt,low,0.4986242433338336,9917,7235,0.7295553090652415,0.23093106573140787
0.5,14,Ob14.txt,high,0.5013757566661664,10022,7290,0.7273997206146477,0.22602396394848134
0.5,15,Ob15.txt,low,0.4972735004252339,9909,7028,0.7092542133414068,0.21198071291617293
0.5,15,Ob15.txt,high,0.5027264995747661,10030,7168,0.7146560319042872,0.21192953232952105
0.5,16,Ob16.txt,low,0.49997498624243336,9994,6709,0.6713027816690014,0.171327795426568
0.5,16,Ob16.txt,high,0.5000250137575667,9945,6710,0.6747109100050277,0.174685896247461
0.5,17,Ob17.txt,low,0.5001000500250125,9947,6892,0.6928722227807379,0.19277217275572545
0.5,17,Ob17.txt,high,0.4998999499749875,9993,6938,0.6942860002001401,0.1943860502251526
0.5,18,Ob18.txt,low,0.49907449097003354,9941,6924,0.6965094054924051,0.1974349145223716
0.5,18,Ob18.txt,high,0.5009255090299665,9998,6946,0.6947389477895579,0.19381343875959145
0.5,19,Ob19.txt,low,0.49899966655551853,14954,10040,0.6713922696268557,0.1723926030713372
0.5,19,Ob19.txt,high,0.5010003334444815,14986,10091,0.6733618043507273,0.17236147090624587
1.0,1,Ob1.txt,low,0.4993174993174993,5402,3026,0.5601629026286561,0.06084540331115679
1.0,1,Ob1.txt,high,0.5006825006825006,5487,3026,0.5514853289593585,0.05080282827685789
1.0,2,Ob2.txt,low,0.502725620835857,7426,4588,0.617829248586049,0.115103627750192
1.0,2,Ob2.txt,high,0.49727437916414297,7333,4544,0.6196645302059185,0.12239015104177553
1.0,3,Ob3.txt,low,0.4999332888592395,7438,4309,0.5793223984942188,0.07938910963497936
1.0,3,Ob3.txt,high,0.5000667111407605,7452,4295,0.5763553408480945,0.07628862970733397
1.0,4,Ob4.txt,low,0.5,7376,4837,0.6557754880694143,0.15577548806941433
1.0,4,Ob4.txt,high,0.5,7476,4837,0.647003745318352,0.14700374531835203
1.0,5,Ob5.txt,low,0.4999665708363977,7422,4188,0.5642683912691997,0.06430182043280203
1.0,5,Ob5.txt,high,0.5000334291636023,7435,4145,0.5574983187626092,0.057464889599006974
1.0,6,Ob6.txt,low,0.5,9958,6347,0.6373769833299859,0.13737698332998594
1.0,6,Ob6.txt,high,0.5,9932,6284,0.6327023761578735,0.1327023761578735
1.0,7,Ob7.txt,low,0.501251126013412,4908,2671,0.5442135289323553,0.042962402918943265
1.0,7,Ob7.txt,high,0.4987488739865879,4983,2696,0.5410395344170179,0.042290660430430005
1.0,8,Ob8.txt,low,0.4990784138185265,9477,5419,0.5718054236572755,0.07272700983874897
1.0,8,Ob8.txt,high,0.5009215861814735,9412,5379,0.5715044623884403,0.0705828762069668
1.0,9,Ob9.txt,low,0.49496576721707614,4829,2989,0.6189687305860426,0.12400296336896649
1.0,9,Ob9.txt,high,0.5050342327829239,5003,3176,0.6348191085348791,0.1297848757519552
1.0,10,Ob10.txt,low,0.5002001334222815,7469,4435,0.5937876556433257,0.09358752222104416
1.0,10,Ob10.txt,high,0.49979986657771847,7421,4418,0.5953375555855006,0.09553768900778215
1.0,11,Ob11.txt,low,0.4994747110911001,9884,5792,0.5859975718332658,0.08652286074216575
1.0,11,Ob11.txt,high,0.5005252889088999,10005,5855,0.585207396301849,0.08468210739294912
1.0,12,Ob12.txt,low,0.5049777377557657,10007,5935,0.5930848406115719,0.08810710285580614
1.0,12,Ob12.txt,high,0.49502226224423435,9882,5723,0.5791337785873305,0.08411151634309616
1.0,13,Ob13.txt,low,0.49997498624243336,9941,5731,0.5765013580122724,0.07652637176983906
