target,covariate,covariate_family,n,spearman_rho,permutation_p_two_sided,theil_sen_slope,theil_sen_iqr_delta,loo_slope_min,loo_slope_max,loo_slope_sign_stability,interpretation
t1_local_to_b3_ratio,duration_sec,raw_trajectory_quality,19,0.5794101089099912,0.009899505024748763,0.013301775105780476,0.6650887552890238,0.010094144016327524,0.01671083677690747,1.0,moderate routing clue
t1_local_to_b3_ratio,median_dt_sec,raw_trajectory_quality,19,-0.5838742081211422,0.011799410029498525,nan,nan,nan,nan,nan,moderate routing clue
t1_local_to_b3_ratio,n_frames,raw_trajectory_quality,19,0.5766130861089824,0.012149392530373481,0.00013242356915986502,0.6668188825045003,9.579215332439678e-05,0.00016237763876274927,1.0,moderate routing clue
t1_local_to_b3_ratio,median_track_span_sec,raw_trajectory_quality,19,0.5578947368421052,0.014349282535873207,0.7667650399477298,0.6977561863524334,0.6073336467657678,0.9996159453597174,1.0,moderate routing clue
t1_local_to_b3_ratio,median_track_length_frames,raw_trajectory_quality,19,0.5578947368421052,0.014599270036498175,0.007667650399477284,0.6977561863524329,0.0060733364676576656,0.009996159453597211,1.0,moderate routing clue
t1_local_to_b3_ratio,median_individuals_per_frame,raw_trajectory_quality,19,-0.4995612109729617,0.03294835258237088,-0.01672318450896282,-0.5267803120323288,-0.018322883455407467,-0.014660911092265475,1.0,no strong association
t1_local_to_b3_ratio,q90_individuals_per_frame,raw_trajectory_quality,19,-0.4914297583150628,0.033398330083495825,-0.015411077762478001,-0.53938772168673,-0.016811183664302124,-0.014121350245621467,1.0,no strong association
t1_local_to_b3_ratio,q10_individuals_per_frame,raw_trajectory_quality,19,-0.4782429132797749,0.04064796760161992,-0.017532817650237224,-0.5084517118568795,-0.019763763510592423,-0.016062442408767964,1.0,no strong association
t1_local_to_b3_ratio,q90_swarm_radius,raw_trajectory_quality,19,-0.4473684210526316,0.055897205139743014,-0.0126740441287016,-0.5690287301264668,-0.014962577179223642,-0.00717503475856936,1.0,no strong association
t1_local_to_b3_ratio,ob_index_proxy,observation_sequence_proxy,19,0.43859649122807015,0.05944702764861757,0.06786157135395655,0.610754142185609,0.04919164629351268,0.08617251495354245,1.0,sequence proxy; not confirmed metadata
t1_local_to_b3_ratio,early_ob_le_8,observation_sequence_proxy,19,-0.4476368928928757,0.06569671516424179,-0.673652374298347,-0.673652374298347,-0.8837567986289574,-0.6350077410013402,1.0,sequence proxy; not confirmed metadata
t1_local_to_b3_ratio,n_events,event_structure,19,0.4275682069311641,0.0712964351782411,0.009971873846309296,0.608284304624867,0.007290773060802322,0.01046769620597166,1.0,no strong association
t1_local_to_b3_ratio,file_size_mb,raw_trajectory_quality,19,-0.42280701754385963,0.07139643017849108,-0.01739848288367696,-0.5126684932727263,-0.021225998425585164,-0.01311379518190547,1.0,no strong association
t1_local_to_b3_ratio,swarm_radius_cv,raw_trajectory_quality,19,0.41403508771929826,0.07864606769661517,11.01957346924858,0.5784942005129904,8.446948520127844,15.243358585718806,1.0,no strong association
t1_local_to_b3_ratio,event_rate_per_sec,event_structure,19,0.4087719298245614,0.08139593020348983,2.3995004856937205,0.48716579127688775,2.040330990134651,3.408461162001355,1.0,no strong association
t1_local_to_b3_ratio,unique_ids,raw_trajectory_quality,19,-0.39473684210526316,0.10019499025048748,-0.00022073238159749288,-0.5634194040276006,-0.000251213572245074,-0.00016322218129951707,1.0,no strong association
t1_local_to_b3_ratio,median_swarm_radius,raw_trajectory_quality,19,-0.26842105263157895,0.26528673566321687,-0.012624043009752551,-0.3862398594443833,-0.015729999268949347,-0.007154147563336221,1.0,no strong association
t1_local_to_b3_ratio,median_prev_duration_sec,event_structure,19,0.1842913735991709,0.4454777261136943,1.6055022827692222,0.18463276251844235,0.467368595494343,2.1638924597993294,1.0,no strong association
t1_local_to_b3_ratio,median_raw_speed,raw_trajectory_quality,19,0.11052631578947368,0.6498675066246687,0.008744940517213879,0.29157282737631457,0.0026684869609718176,0.014848427213964482,1.0,no strong association
t1_local_to_b3_ratio,median_next_duration_sec,event_structure,19,0.049230888131741535,0.8433578321083945,0.3696729185697867,0.030498015782001335,-2.804710689422386,1.8008089674987158,0.5789473684210527,no strong association
t1_local_to_b3_ratio,q95_raw_speed,raw_trajectory_quality,19,-0.017543859649122806,0.9472526373681316,-0.000752867613501038,-0.032722039974379634,-0.0024255857408619335,0.003694025095005385,0.7368421052631579,no strong association
t1_local_to_b3_ratio,track_continuity_fraction,raw_trajectory_quality,19,nan,nan,nan,nan,nan,nan,nan,no strong association
t1_predefined_pass_fraction,early_ob_le_8,observation_sequence_proxy,19,-0.5518890362979285,0.01454927253637318,-0.7142857142857143,-0.7142857142857143,-0.8461538461538461,-0.7032967032967032,1.0,sequence proxy; not confirmed metadata
t1_predefined_pass_fraction,ob_index_proxy,observation_sequence_proxy,19,0.47514771750913487,0.041797910104494775,0.0,0.0,0.0,0.0,nan,sequence proxy; not confirmed metadata
t1_predefined_pass_fraction,median_raw_speed,raw_trajectory_quality,19,0.3350400572179797,0.15824208789560523,0.0,0.0,0.0,0.0,nan,no strong association
t1_predefined_pass_fraction,q95_raw_speed,raw_trajectory_quality,19,0.30458187019816335,0.20323983800809958,0.0,0.0,0.0,0.0,nan,no strong association
