variant,ob,dataset,variable,phase,n_events,real_phase_aligned_z,null_phase_median_aligned_z,null_phase_abs_median_z,event_minus_null_phase_z,abs_event_minus_abs_null_z,p_null_abs_ge_real_abs,phase_gate
none_z,7,Ob7.txt,all_tangential,near_pre,33,-0.20876426306092113,0.010474981689558516,0.08846974179964154,-0.21923924475047965,0.1202945212612796,0.225,True
none_z,7,Ob7.txt,all_tangential,near_post,33,-0.02340708285524347,0.024857952018776767,0.10782189751363014,-0.048265034874020236,-0.08441481465838667,0.975,False
none_z,7,Ob7.txt,all_tangential,late_post,33,-0.044580915617945166,-0.012098824710303224,0.0738280613472174,-0.03248209090764194,-0.029247145729272228,0.6,False
none_z,9,Ob9.txt,all_tangential,early_pre,37,-0.3616418837269018,-0.02772763755049007,0.09672218806092953,-0.33391424617641174,0.2649196956659723,0.0,True
none_z,9,Ob9.txt,all_tangential,near_pre,37,-0.25662686458162676,0.03397162785355891,0.07742762763706501,-0.29059849243518565,0.17919923694456175,0.05,True
none_z,9,Ob9.txt,all_tangential,near_post,37,0.17639706315271048,0.023999974535079946,0.08362263943337063,0.15239708861763052,0.09277442371933985,0.125,True
none_z,9,Ob9.txt,all_tangential,late_post,37,0.13837774426928523,0.006432818473721614,0.08395027995602519,0.1319449257955636,0.05442746431326004,0.25,True
none_z,10,Ob10.txt,all_tangential,early_pre,36,-0.02246264236787208,-0.02108729103095209,0.07391933582488439,-0.0013753513369199923,-0.0514566934570123,0.75,False
none_z,10,Ob10.txt,all_tangential,near_pre,36,-0.09241889056666078,0.027254056644347435,0.08437384839297388,-0.11967294721100821,0.0080450421736869,0.45,False
none_z,10,Ob10.txt,all_tangential,near_post,36,0.20533950214612134,0.02486914355987379,0.08879047708626395,0.18047035858624755,0.1165490250598574,0.175,True
none_z,10,Ob10.txt,all_tangential,late_post,36,0.132281244518952,0.03805624731514441,0.11774893139661338,0.0942249972038076,0.01453231312233863,0.425,False
none_z,11,Ob11.txt,all_tangential,early_pre,119,-0.03892510472357663,-0.012511768927675495,0.05067712502634734,-0.026413335795901136,-0.011752020302770706,0.675,False
none_z,11,Ob11.txt,all_tangential,near_pre,119,-0.20582440728942558,0.01174985527095135,0.04106255176592288,-0.21757426256037693,0.1647618555235027,0.075,True
none_z,11,Ob11.txt,all_tangential,near_post,119,0.14836024766366818,-0.026836887385628613,0.05202801665827651,0.1751971350492968,0.09633223100539166,0.075,True
none_z,11,Ob11.txt,all_tangential,late_post,119,0.006664257376368702,-0.0026073355904116177,0.05108396700044429,0.00927159296678032,-0.04441970962407559,0.95,False
none_z,12,Ob12.txt,all_tangential,early_pre,91,-0.14969230291859809,0.01771067187512518,0.06578754787077994,-0.16740297479372326,0.08390475504781815,0.225,True
none_z,12,Ob12.txt,all_tangential,near_pre,91,-0.23234110838439145,-0.03464250404716743,0.062036517802682684,-0.19769860433722403,0.17030459058170877,0.025,True
none_z,12,Ob12.txt,all_tangential,near_post,91,0.07138945981361111,-0.018867193556433976,0.05872245692687476,0.09025665337004508,0.012667002886736355,0.425,False
none_z,12,Ob12.txt,all_tangential,late_post,91,0.10859642284935872,-0.002303488587200701,0.049098969145839194,0.11089991143655942,0.059497453703519526,0.2,True
none_z,13,Ob13.txt,all_tangential,early_pre,102,-0.1911668701443098,0.012891363232134839,0.05152931076310861,-0.20405823337644463,0.1396375593812012,0.05,True
none_z,13,Ob13.txt,all_tangential,near_pre,102,-0.3015596596191657,-0.0055833375842548934,0.08183588094224092,-0.2959763220349108,0.21972377867692477,0.0,True
none_z,13,Ob13.txt,all_tangential,near_post,102,0.15213613784244054,-0.005097333285254517,0.047633505558731574,0.15723347112769506,0.10450263228370896,0.125,True
none_z,13,Ob13.txt,all_tangential,late_post,102,0.0872287984996502,-0.0067458719247574135,0.05670941979239897,0.09397467042440762,0.030519378707251237,0.275,True
none_z,14,Ob14.txt,all_tangential,early_pre,47,-0.14883312759674855,-0.018894351616047758,0.09983224717085588,-0.1299387759807008,0.049000880425892665,0.2,True
none_z,14,Ob14.txt,all_tangential,near_pre,47,-0.31537037560275405,0.03369239024805258,0.08597352288924276,-0.34906276585080664,0.2293968527135113,0.0,True
none_z,14,Ob14.txt,all_tangential,near_post,47,-0.0058826998619860345,0.0118883283910802,0.07013484287684571,-0.017771028253066236,-0.06425214301485968,1.0,False
none_z,14,Ob14.txt,all_tangential,late_post,47,0.010219761650785027,0.026039386861322712,0.09782866053776144,-0.015819625210537685,-0.08760889888697641,1.0,False
