replicate,ob,dataset,n_events,b3_event_direction_abs_z,k8_local_event_direction_abs_z,k8_local_non_event_direction_abs_median_z,k8_local_event_minus_non_event_direction_z,k8_p_non_event_direction_ge_event,k8_local_to_b3_direction_ratio,k8_pass,k10_local_event_direction_abs_z,k10_local_non_event_direction_abs_median_z,k10_local_event_minus_non_event_direction_z,k10_p_non_event_direction_ge_event,k10_local_to_b3_direction_ratio,k10_pass,both_pass,any_pass
2,5,Ob5.txt,93,0.0410805317252446,0.2852206675886445,0.1942071147084514,0.091013552880193,0.35,6.942964358306297,True,0.0102527849510148,0.2541498666987895,-0.2438970817477746,0.925,0.2495777079904341,False,False,True
2,6,Ob6.txt,112,0.1476359417752987,0.4601600441398694,0.1331954114045693,0.3269646327353001,0.075,3.116856495826951,True,0.3570092811976014,0.1868427873244918,0.1701664938731095,0.175,2.418173223299296,True,True,True
2,7,Ob7.txt,33,0.0945125963550141,0.743342685258414,0.2971124198009209,0.446230265457493,0.05,7.865011796588712,True,1.038482809727495,0.3104499455486378,0.7280328641788572,0.05,10.987771469388909,True,True,True
2,8,Ob8.txt,84,0.1897398214613163,0.6001583703647526,0.1419633075081851,0.4581950628565675,0.0,3.163059634727817,True,0.642247928250654,0.1368318180146065,0.5054161102360475,0.0,3.3848873858121227,True,True,True
2,9,Ob9.txt,37,0.1065866429516049,0.6836600932634809,0.2416843795719213,0.4419757136915595,0.025,6.414125394435142,True,0.1200025287874887,0.254422894245938,-0.1344203654584493,0.775,1.1258683589647829,False,False,True
2,10,Ob10.txt,36,0.1651336675351231,0.1278105768501106,0.2468282417648389,-0.1190176649147282,0.725,0.7739825485491986,False,0.0086144479426241,0.2640898040508443,-0.2554753561082202,1.0,0.0521665149887854,False,False,False
2,11,Ob11.txt,119,0.2563077181613497,0.1450386801269857,0.1643017820782983,-0.0192631019513126,0.525,0.5658771462967869,False,0.4915429899329214,0.154782183726509,0.3367608062064124,0.05,1.9177845812020669,True,False,True
2,12,Ob12.txt,91,0.3446666420565978,0.1745490773488526,0.2663835731584456,-0.091834495809593,0.775,0.5064286938455443,False,0.0576755272059681,0.1885251277905353,-0.1308496005845671,0.75,0.1673371315013921,False,False,False
2,13,Ob13.txt,102,0.2732651477533909,0.0268656649465546,0.0744811850803628,-0.0476155201338082,0.725,0.0983135433385,False,0.1143964191179122,0.0521828875937927,0.0622135315241194,0.05,0.4186279152625408,True,False,True
2,14,Ob14.txt,47,0.0441905190902839,0.2849400086913448,0.2395645870706733,0.0453754216206714,0.375,6.447989626670703,False,0.4114208443605236,0.2161037079322862,0.1953171364282373,0.225,9.310160931125637,True,False,True
