ob,dataset,history_window_sec,history_feature,current_state,spearman_corr,pearson_corr,n
2,Ob2.txt,0.25,sin_theta_h,C,-0.06258016965032108,-0.09793511940594472,1418
2,Ob2.txt,0.25,sin_theta_h,dCdt,-0.5235606103237156,-0.6146889742663892,1418
2,Ob2.txt,0.25,sin_theta_h,R,0.10278884612056549,0.12891423608000657,1418
2,Ob2.txt,0.25,turning_proxy,C,0.06644645332967374,0.05669253403449671,1351
2,Ob2.txt,0.25,turning_proxy,dCdt,0.02977557228653283,0.0019296811373599695,1351
2,Ob2.txt,0.25,turning_proxy,R,-0.06778107725497122,-0.06278946531075422,1351
2,Ob2.txt,0.5,dC_h,C,0.3057260002318974,0.3136829989570825,1479
2,Ob2.txt,0.5,dC_h,dCdt,0.6892134508804424,0.7016947151083848,1479
2,Ob2.txt,0.5,dC_h,R,-0.3309396837515807,-0.3333722088340483,1479
2,Ob2.txt,0.5,dR_h,C,-0.2673993566367725,-0.2857583981195075,1479
2,Ob2.txt,0.5,dR_h,dCdt,-0.6186963352420484,-0.624135185845048,1479
2,Ob2.txt,0.5,dR_h,R,0.3530452038964996,0.3703671647701053,1479
2,Ob2.txt,0.5,path_length,C,0.002468004871477576,-0.0011235382008082447,1479
2,Ob2.txt,0.5,path_length,dCdt,0.021217971025286983,0.057834669323787086,1479
2,Ob2.txt,0.5,path_length,R,-0.05444405860817491,-0.051380696683553675,1479
2,Ob2.txt,0.5,cos_theta_h,C,0.25652587658802867,0.27273097546181857,1457
2,Ob2.txt,0.5,cos_theta_h,dCdt,0.5666703477654443,0.5897584413942996,1457
2,Ob2.txt,0.5,cos_theta_h,R,-0.22261836323263917,-0.2482112441205971,1457
2,Ob2.txt,0.5,sin_theta_h,C,-0.15983685112602983,-0.211880944431729,1457
2,Ob2.txt,0.5,sin_theta_h,dCdt,-0.4049046443330742,-0.4823731271164494,1457
2,Ob2.txt,0.5,sin_theta_h,R,0.2675978403310059,0.28893744615051953,1457
2,Ob2.txt,0.5,turning_proxy,C,0.09050254040009392,0.06205758884582762,1434
2,Ob2.txt,0.5,turning_proxy,dCdt,0.03535281061406853,0.017384697891954265,1434
2,Ob2.txt,0.5,turning_proxy,R,-0.0957496929434052,-0.07124611796844416,1434
2,Ob2.txt,0.75,dC_h,C,0.4169988203556326,0.4254021600360903,1477
2,Ob2.txt,0.75,dC_h,dCdt,0.5146161887059754,0.5282452438579404,1477
2,Ob2.txt,0.75,dC_h,R,-0.4507889281840497,-0.4525985860465949,1477
2,Ob2.txt,0.75,dR_h,C,-0.3692430141956341,-0.38445363591031007,1477
2,Ob2.txt,0.75,dR_h,dCdt,-0.45166914951889003,-0.45879822229832323,1477
2,Ob2.txt,0.75,dR_h,R,0.4872908706201187,0.50167696481443,1477
2,Ob2.txt,0.75,path_length,C,-0.004385587683974426,0.006594911059359931,1477
2,Ob2.txt,0.75,path_length,dCdt,0.020052337915580552,0.05879527513624354,1477
2,Ob2.txt,0.75,path_length,R,-0.047109904073572184,-0.04640050178661054,1477
2,Ob2.txt,0.75,cos_theta_h,C,0.3372057999944889,0.35727564257720645,1465
2,Ob2.txt,0.75,cos_theta_h,dCdt,0.4272309043593845,0.4444259952700869,1465
2,Ob2.txt,0.75,cos_theta_h,R,-0.28934129685199705,-0.3274209577543515,1465
2,Ob2.txt,0.75,sin_theta_h,C,-0.24470893966212576,-0.3078553964495328,1465
2,Ob2.txt,0.75,sin_theta_h,dCdt,-0.2815804231599502,-0.3438612957732544,1465
2,Ob2.txt,0.75,sin_theta_h,R,0.38333300383965724,0.4126141604500171,1465
2,Ob2.txt,0.75,turning_proxy,C,0.08952694839607853,0.05490934331101254,1452
2,Ob2.txt,0.75,turning_proxy,dCdt,0.03199156339999948,0.01305204248995844,1452
2,Ob2.txt,0.75,turning_proxy,R,-0.07467555777292867,-0.04563995283392571,1452
3,Ob3.txt,0.25,dC_h,C,0.15626965501553366,0.16221391745764221,1495
3,Ob3.txt,0.25,dC_h,dCdt,0.8369836508051773,0.844073925669048,1495
3,Ob3.txt,0.25,dC_h,R,-0.15778321197080636,-0.15108100755113743,1495
3,Ob3.txt,0.25,dR_h,C,-0.17078814066919942,-0.16663008163341658,1495
3,Ob3.txt,0.25,dR_h,dCdt,-0.8096998083008623,-0.8039626377927472,1495
3,Ob3.txt,0.25,dR_h,R,0.17513042530144188,0.16714532121610873,1495
3,Ob3.txt,0.25,path_length,C,0.015653406464733614,0.061270546453945994,1495
3,Ob3.txt,0.25,path_length,dCdt,-0.011411557556752145,0.022924881272549852,1495
3,Ob3.txt,0.25,path_length,R,-0.0024737405796167703,-0.04821121910341483,1495
3,Ob3.txt,0.25,cos_theta_h,C,0.10720230578747969,0.13905673252034628,1419
