ob,dataset,t,n_focals,neighbor_slots,unique_neighbors,neighbor_overlap_ratio,max_memberships_per_neighbor,fraction_multimembership_neighbors
1,Ob1.txt,22.17,24,192,73,2.6301369863013697,6,0.7671232876712328
1,Ob1.txt,22.27,24,192,76,2.526315789473684,5,0.7105263157894737
1,Ob1.txt,22.37,24,192,79,2.430379746835443,7,0.7215189873417721
1,Ob1.txt,22.47,24,192,77,2.493506493506493,6,0.7402597402597403
1,Ob1.txt,22.57,24,192,76,2.526315789473684,6,0.75
1,Ob1.txt,22.67,24,192,75,2.56,7,0.6933333333333334
1,Ob1.txt,22.77,24,192,77,2.493506493506493,5,0.7792207792207793
1,Ob1.txt,22.87,24,192,75,2.56,7,0.7333333333333333
1,Ob1.txt,22.97,24,192,79,2.430379746835443,7,0.6582278481012658
1,Ob1.txt,23.07,24,192,72,2.6666666666666665,8,0.7222222222222222
1,Ob1.txt,23.17,24,192,71,2.704225352112676,6,0.8028169014084507
1,Ob1.txt,23.27,24,192,65,2.953846153846154,7,0.7846153846153846
1,Ob1.txt,23.37,24,192,67,2.8656716417910446,7,0.6865671641791045
1,Ob1.txt,23.47,24,192,67,2.8656716417910446,10,0.746268656716418
1,Ob1.txt,23.57,24,192,70,2.742857142857143,6,0.6857142857142857
1,Ob1.txt,23.67,24,192,75,2.56,9,0.76
1,Ob1.txt,23.77,24,192,74,2.5945945945945947,6,0.7567567567567568
1,Ob1.txt,23.87,24,192,71,2.704225352112676,6,0.7887323943661971
1,Ob1.txt,23.97,24,192,67,2.8656716417910446,9,0.7761194029850746
1,Ob1.txt,24.07,24,192,78,2.4615384615384617,7,0.7307692307692307
1,Ob1.txt,24.17,24,192,69,2.782608695652174,6,0.7681159420289855
1,Ob1.txt,24.27,24,192,72,2.6666666666666665,8,0.7916666666666666
1,Ob1.txt,24.37,24,192,73,2.6301369863013697,7,0.684931506849315
1,Ob1.txt,24.47,24,192,70,2.742857142857143,7,0.8857142857142857
1,Ob1.txt,24.57,24,192,72,2.6666666666666665,7,0.7083333333333334
1,Ob1.txt,24.67,24,192,70,2.742857142857143,9,0.7
1,Ob1.txt,24.77,24,192,73,2.6301369863013697,5,0.7945205479452054
1,Ob1.txt,24.87,24,192,70,2.742857142857143,6,0.8571428571428571
1,Ob1.txt,24.97,24,192,73,2.6301369863013697,7,0.7671232876712328
1,Ob1.txt,25.07,24,192,64,3.0,8,0.71875
1,Ob1.txt,25.17,24,192,70,2.742857142857143,7,0.8142857142857143
1,Ob1.txt,25.27,24,192,71,2.704225352112676,6,0.7605633802816901
1,Ob1.txt,25.37,24,192,72,2.6666666666666665,6,0.7638888888888888
1,Ob1.txt,25.47,24,192,73,2.6301369863013697,6,0.6712328767123288
1,Ob1.txt,25.57,24,192,72,2.6666666666666665,6,0.7916666666666666
1,Ob1.txt,25.67,24,192,75,2.56,8,0.7733333333333333
1,Ob1.txt,25.77,24,192,75,2.56,5,0.7866666666666666
1,Ob1.txt,25.87,24,192,80,2.4,6,0.7875
1,Ob1.txt,25.97,24,192,81,2.3703703703703702,5,0.691358024691358
1,Ob1.txt,26.07,24,192,78,2.4615384615384617,6,0.717948717948718
1,Ob1.txt,26.17,24,192,87,2.206896551724138,5,0.6896551724137931
1,Ob1.txt,26.27,24,192,78,2.4615384615384617,7,0.7307692307692307
1,Ob1.txt,26.37,24,192,74,2.5945945945945947,7,0.7297297297297297
1,Ob1.txt,26.47,24,192,78,2.4615384615384617,6,0.7692307692307693
1,Ob1.txt,26.57,24,192,73,2.6301369863013697,8,0.684931506849315
1,Ob1.txt,26.67,24,192,78,2.4615384615384617,8,0.7051282051282052
1,Ob1.txt,26.77,24,192,72,2.6666666666666665,7,0.6666666666666666
1,Ob1.txt,26.87,24,192,68,2.823529411764706,8,0.7352941176470589
1,Ob1.txt,26.97,24,192,76,2.526315789473684,7,0.7368421052631579
1,Ob1.txt,27.07,24,192,74,2.5945945945945947,7,0.7162162162162162
1,Ob1.txt,27.17,24,192,76,2.526315789473684,8,0.6842105263157895
1,Ob1.txt,27.27,24,192,74,2.5945945945945947,8,0.7027027027027027
1,Ob1.txt,27.37,24,192,77,2.493506493506493,6,0.7142857142857143
1,Ob1.txt,27.47,24,192,75,2.56,7,0.72
1,Ob1.txt,27.57,24,192,76,2.526315789473684,8,0.7105263157894737
1,Ob1.txt,27.67,24,192,75,2.56,6,0.7733333333333333
1,Ob1.txt,27.77,24,192,72,2.6666666666666665,8,0.7638888888888888
1,Ob1.txt,27.87,24,192,73,2.6301369863013697,7,0.7534246575342466
1,Ob1.txt,27.97,24,192,70,2.742857142857143,7,0.8
1,Ob1.txt,28.07,24,192,68,2.823529411764706,8,0.6617647058823529
1,Ob1.txt,28.17,24,192,71,2.704225352112676,7,0.7605633802816901
1,Ob1.txt,28.27,24,192,77,2.493506493506493,6,0.7142857142857143
1,Ob1.txt,28.37,24,192,73,2.6301369863013697,6,0.7808219178082192
1,Ob1.txt,28.47,24,192,80,2.4,7,0.675
1,Ob1.txt,28.57,24,192,80,2.4,5,0.7125
1,Ob1.txt,28.67,24,192,78,2.4615384615384617,6,0.6282051282051282
1,Ob1.txt,28.77,24,192,79,2.430379746835443,6,0.7088607594936709
1,Ob1.txt,28.87,24,192,80,2.4,6,0.7375
