ob,variable,n_events,phase,real_phase_aligned_z,null_phase_median_aligned_z,null_phase_abs_median_z,event_minus_null_phase_z,abs_event_minus_abs_null_z,p_null_abs_ge_real_abs,phase_gate
14,shell_edge_tangential,47,near_post,0.038156508529885336,0.040358528693870015,0.05841397252915281,-0.002202020163984679,-0.020257463999267478,0.775,False
14,shell_edge_tangential,47,late_post,0.06810803135478097,-0.01984394634088129,0.05892063276139841,0.08795197769566226,0.009187398593382558,0.45,False
14,shell_radius_corr_tangential,47,early_pre,-0.17903530093362896,0.024659927161922147,0.07649261653376263,-0.2036952280955511,0.10254268439986633,0.1,False
14,shell_radius_corr_tangential,47,near_pre,-0.0595702708340238,0.005286160990835248,0.04726716543761938,-0.06485643182485905,0.012303105396404425,0.4,False
14,shell_radius_corr_tangential,47,near_post,-0.03267570007837255,-0.01077085230027286,0.04255525428016558,-0.021904847778099687,-0.009879554201793032,0.65,False
14,shell_radius_corr_tangential,47,late_post,0.05970890497194359,-0.021563150436335287,0.07121276759071646,0.08127205540827888,-0.01150386261877287,0.575,False
14,density_dense_tangential,47,early_pre,0.08948649043653817,-0.005831735119408973,0.05271733875414118,0.09531822555594714,0.036769151682396986,0.275,False
14,density_dense_tangential,47,near_pre,-0.0625841491398755,-0.020251329213482466,0.06257311870103965,-0.04233281992639304,1.1030438835851752e-05,0.5,False
14,density_dense_tangential,47,near_post,0.0826488022213642,0.04445517211686592,0.0709771993971083,0.03819363010449828,0.011671602824255903,0.45,False
14,density_dense_tangential,47,late_post,0.03564816800519989,-0.02176147030537742,0.06187936044038801,0.05740963831057731,-0.026231192435188122,0.8,False
14,density_sparse_minus_dense,47,early_pre,-0.1955827541153427,0.02303067280214699,0.06147569863553763,-0.2186134269174897,0.13410705547980506,0.0,True
14,density_sparse_minus_dense,47,near_pre,0.04861912480621289,0.009211085883488164,0.058772048414758846,0.03940803892272472,-0.010152923608545958,0.55,False
14,density_sparse_minus_dense,47,near_post,-0.09116817873352226,-0.017689737286940753,0.051889436187346885,-0.0734784414465815,0.039278742546175374,0.25,False
14,density_sparse_minus_dense,47,late_post,0.018135957294675216,0.00556688536219619,0.03412160143104288,0.012569071932479026,-0.015985644136367667,0.7,False
15,shell_edge_minus_core,96,early_pre,-0.07023050480771287,0.029344717087288724,0.05421309107069845,-0.09957522189500159,0.016017413737014416,0.4,False
15,shell_edge_minus_core,96,near_pre,0.19034771498494293,-0.007307159114485285,0.0571775986011166,0.19765487409942822,0.13317011638382634,0.075,True
15,shell_edge_minus_core,96,near_post,6.735204264833678e-05,-0.029916569759911735,0.06448895347926444,0.02998392180256007,-0.0644216014366161,1.0,False
15,shell_edge_minus_core,96,late_post,-0.1057103111951658,0.008089108843501476,0.03881687827329854,-0.11379942003866728,0.06689343292186725,0.125,False
15,all_tangential,96,early_pre,-0.18265358928049918,-0.0262745791924859,0.05836676503689532,-0.15637901008801328,0.12428682424360386,0.0,True
15,all_tangential,96,near_pre,-0.26615249145560327,-0.013547059203505334,0.08741280845989405,-0.2526054322520979,0.17873968299570922,0.0,True
15,all_tangential,96,near_post,0.19217129605223532,0.02073940226430662,0.05613246814835909,0.1714318937879287,0.13603882790387622,0.025,True
15,all_tangential,96,late_post,0.0628568638515867,0.012064581865274928,0.0489526407290094,0.05079228198631178,0.013904223122577303,0.325,False
15,shell_core_tangential,96,early_pre,-0.11433068507406499,-0.028147307320798835,0.05554189986894983,-0.08618337775326615,0.058788785205115164,0.275,False
15,shell_core_tangential,96,near_pre,-0.3333684003956866,-0.010663367254314046,0.062315759413750026,-0.32270503314137255,0.2710526409819366,0.025,True
