ob,target_id,role,b3_metric,local_metric,k,lag_sec,n_events,b3_event_direction_abs_z,b3_non_event_direction_abs_median_z,b3_event_minus_non_event_direction_z,local_event_direction_abs_z,local_non_event_direction_abs_median_z,local_event_minus_non_event_direction_z,p_non_event_direction_ge_event,local_to_b3_direction_ratio,event_conditioned_local_gate,geometry_ladder_reading
9,T1_support_edge_core_tangential,supporting_transition_spatial_metric,edge_minus_core_resid_tangential,local_edge_minus_core_tangential,10,0.1,36,0.6370643431525245,0.31886292275216366,0.3182014204003608,0.3965601130259375,0.22777893472272112,0.1687811783032164,0.2,0.6224804720093933,True,local_nonaffine_signal_survives_pilot
9,T2_general_speed_rms,secondary_general_activity,resid_speed_rms,local_speed_rms,10,0.1,36,1.2875769648076814,0.28589574171885035,1.001681223088831,1.7275553042710685,0.27604863080173747,1.4515066734693312,0.0,1.3417103221702202,True,local_nonaffine_signal_survives_pilot
9,T2_general_cov_trace,secondary_general_activity,resid_velocity_cov_trace,local_velocity_cov_trace,10,0.1,36,1.3605301286820493,0.28122233650131623,1.079307792180733,1.7522436101674341,0.2582259077219554,1.4940177024454786,0.0,1.287912390345107,True,local_nonaffine_signal_survives_pilot
10,T1_transition_tangential_residual,primary_transition_target,resid_tangential_speed_mean,local_tangential_speed_mean,8,0.1,36,0.5735311786222475,0.2725097118910649,0.3010214667311826,0.5742532985740864,0.3264204250985867,0.24783287347549965,0.15,1.001259077062861,True,local_nonaffine_signal_survives_pilot
10,T1_support_edge_core_tangential,supporting_transition_spatial_metric,edge_minus_core_resid_tangential,local_edge_minus_core_tangential,8,0.1,36,0.7976146612128608,0.36618345456492196,0.4314312066479389,0.1706970595334778,0.2002367161232158,-0.029539656589738006,0.6,0.2140094306615605,False,local_affine_largely_absorbs_b3_signal
10,T2_general_speed_rms,secondary_general_activity,resid_speed_rms,local_speed_rms,8,0.1,36,0.5521874570287999,0.28986090738072107,0.26232654964807883,1.2833805741723703,0.26281506252749565,1.0205655116448746,0.0,2.3241755274159264,True,local_nonaffine_signal_survives_pilot
10,T2_general_cov_trace,secondary_general_activity,resid_velocity_cov_trace,local_velocity_cov_trace,8,0.1,36,0.5790683828287234,0.29908895356346377,0.27997942926525965,1.273424855418921,0.27430745351172414,0.9991174019071968,0.0,2.1990923579669412,True,local_nonaffine_signal_survives_pilot
10,T1_transition_tangential_residual,primary_transition_target,resid_tangential_speed_mean,local_tangential_speed_mean,10,0.1,36,0.5735311786222475,0.2725097118910649,0.3010214667311826,0.8041247935044742,0.3259136526753292,0.478211140829145,0.0,1.4020594232316457,True,local_nonaffine_signal_survives_pilot
10,T1_support_edge_core_tangential,supporting_transition_spatial_metric,edge_minus_core_resid_tangential,local_edge_minus_core_tangential,10,0.1,36,0.7976146612128608,0.36618345456492196,0.4314312066479389,0.23007692008869712,0.14605379300352944,0.08402312708516768,0.3,0.28845623241032187,False,local_affine_largely_absorbs_b3_signal
10,T2_general_speed_rms,secondary_general_activity,resid_speed_rms,local_speed_rms,10,0.1,36,0.5521874570287999,0.28986090738072107,0.26232654964807883,0.8348624127095505,0.2521849820743454,0.5826774306352052,0.0,1.5119184655185085,True,local_nonaffine_signal_survives_pilot
10,T2_general_cov_trace,secondary_general_activity,resid_velocity_cov_trace,local_velocity_cov_trace,10,0.1,36,0.5790683828287234,0.29908895356346377,0.27997942926525965,0.852202373651586,0.2511420840065352,0.6010602896450508,0.0,1.4716783007364609,True,local_nonaffine_signal_survives_pilot
11,T1_transition_tangential_residual,primary_transition_target,resid_tangential_speed_mean,local_tangential_speed_mean,8,0.1,119,0.46339470614973133,0.1777781569659581,0.2856165491837732,0.8262699018720059,0.20455838412725394,0.621711517744752,0.0,1.7830801493986488,True,local_nonaffine_signal_survives_pilot
11,T1_support_edge_core_tangential,supporting_transition_spatial_metric,edge_minus_core_resid_tangential,local_edge_minus_core_tangential,8,0.1,119,0.4402804282252237,0.14512161732342418,0.2951588109017995,0.15923452241752536,0.13887681414876546,0.020357708268759905,0.475,0.36166613869120157,False,inconclusive
11,T2_general_speed_rms,secondary_general_activity,resid_speed_rms,local_speed_rms,8,0.1,119,0.7484717125886733,0.20728246280152807,0.5411892497871452,1.0844351364480092,0.20057464237841466,0.8838604940695944,0.0,1.4488658932711949,True,local_nonaffine_signal_survives_pilot
11,T2_general_cov_trace,secondary_general_activity,resid_velocity_cov_trace,local_velocity_cov_trace,8,0.1,119,0.7039289628259411,0.2229164197833708,0.4810125430425703,1.0452576353424792,0.23318125173526916,0.81207638360721,0.0,1.4848907923127148,True,local_nonaffine_signal_survives_pilot
11,T1_transition_tangential_residual,primary_transition_target,resid_tangential_speed_mean,local_tangential_speed_mean,10,0.1,119,0.46339470614973133,0.1777781569659581,0.2856165491837732,0.7712036853834454,0.19108738330851455,0.5801163020749309,0.0,1.6642479405758583,True,local_nonaffine_signal_survives_pilot
11,T1_support_edge_core_tangential,supporting_transition_spatial_metric,edge_minus_core_resid_tangential,local_edge_minus_core_tangential,10,0.1,119,0.4402804282252237,0.14512161732342418,0.2951588109017995,0.17876951251537598,0.14857240810488814,0.03019710441048784,0.375,0.4060355651873927,False,inconclusive
11,T2_general_speed_rms,secondary_general_activity,resid_speed_rms,local_speed_rms,10,0.1,119,0.7484717125886733,0.20728246280152807,0.5411892497871452,0.9839540317726574,0.170582922189626,0.8133711095830314,0.0,1.3146175269196776,True,local_nonaffine_signal_survives_pilot
11,T2_general_cov_trace,secondary_general_activity,resid_velocity_cov_trace,local_velocity_cov_trace,10,0.1,119,0.7039289628259411,0.2229164197833708,0.4810125430425703,0.982217721735636,0.1620447631050429,0.8201729586305931,0.0,1.3953364239944006,True,local_nonaffine_signal_survives_pilot
12,T1_transition_tangential_residual,primary_transition_target,resid_tangential_speed_mean,local_tangential_speed_mean,8,0.1,91,0.18963170287407577,0.28389012223387483,-0.09425841935979906,0.44985236701892917,0.19839935413839663,0.25145301288053257,0.15,2.3722424056786116,True,local_nonaffine_signal_survives_pilot
12,T1_support_edge_core_tangential,supporting_transition_spatial_metric,edge_minus_core_resid_tangential,local_edge_minus_core_tangential,8,0.1,91,0.5285269615352972,0.19482478424726668,0.33370217728803053,0.08976898557675861,0.14902080222134062,-0.05925181664458201,0.775,0.16984750468735257,False,local_affine_largely_absorbs_b3_signal
12,T2_general_speed_rms,secondary_general_activity,resid_speed_rms,local_speed_rms,8,0.1,91,0.2318189363585549,0.2362504472079227,-0.004431510849367798,0.4557670644140984,0.15877784838003428,0.29698921603406414,0.075,1.9660476041058286,True,local_nonaffine_signal_survives_pilot
12,T2_general_cov_trace,secondary_general_activity,resid_velocity_cov_trace,local_velocity_cov_trace,8,0.1,91,0.18309033513191686,0.2664715340209337,-0.08338119888901685,0.43827223942824367,0.1524169579112757,0.28585528151696793,0.075,2.393748632949237,True,local_nonaffine_signal_survives_pilot
12,T1_transition_tangential_residual,primary_transition_target,resid_tangential_speed_mean,local_tangential_speed_mean,10,0.1,91,0.18963170287407577,0.28389012223387483,-0.09425841935979906,0.6176621810680468,0.23910346855595394,0.3785587125120929,0.025,3.2571672969587957,True,local_nonaffine_signal_survives_pilot
