ob,variable,family,k,lag_sec,n_events,real_low_to_high_delta_z,real_high_to_low_delta_z,real_direction_contrast_z,real_abs_direction_contrast_z,non_event_abs_direction_median_z,event_minus_non_event_abs_direction_z,p_non_event_abs_direction_ge_event,event_conditioned_gate
13,density_dense_tangential,density_level,8,0.1,102,0.4192805625203935,-0.0957085682503427,0.5149891307707362,0.5149891307707362,0.2122080421743447,0.30278108859639147,0.075,True
13,density_middle_tangential,density_level,8,0.1,102,0.21601753646624994,-0.2891469354315215,0.5051644718977715,0.5051644718977715,0.14806792570014088,0.3570965461976306,0.025,True
13,density_sparse_tangential,density_level,8,0.1,102,0.34307632809105765,-0.24811067852066887,0.5911870066117265,0.5911870066117265,0.16874166665775348,0.42244533995397304,0.05,True
13,density_sparse_minus_dense,density_contrast,8,0.1,102,-0.06138259396364215,-0.22123722895094738,0.15985463498730523,0.15985463498730523,0.17265739499480132,-0.012802760007496083,0.575,False
13,density_knn_distance_corr_tangential,density_gradient,8,0.1,102,0.1592877685151728,-0.275181231560876,0.4344690000760488,0.4344690000760488,0.19696204880284687,0.2375069512732019,0.15,True
14,all_tangential,diffuse_baseline,8,0.1,47,0.37703404566151677,-0.21970396905803263,0.5967380147195493,0.5967380147195493,0.16387745082771626,0.4328605638918331,0.05,True
14,shell_core_tangential,radial_level,8,0.1,47,0.6635549025165596,-0.355814728727969,1.0193696312445286,1.0193696312445286,0.15065123626877172,0.8687183949757569,0.0,True
14,shell_middle_tangential,radial_level,8,0.1,47,0.35657698468892696,-0.18124724531192107,0.537824230000848,0.537824230000848,0.13239446446612851,0.4054297655347195,0.075,True
14,shell_edge_tangential,radial_level,8,0.1,47,0.1344739686451358,-0.21438057413722644,0.3488545427823623,0.3488545427823623,0.16956054683906757,0.1792939959432947,0.2,True
14,shell_edge_minus_core,radial_contrast,8,0.1,47,-0.226085222521681,0.0003073566950823059,-0.2263925792167633,0.2263925792167633,0.30532675729751557,-0.07893417808075226,0.625,False
14,shell_middle_minus_core,radial_contrast,8,0.1,47,-0.07256326702870139,0.12176704792407729,-0.1943303149527787,0.1943303149527787,0.20966138779946736,-0.015331072846688665,0.55,False
14,shell_radius_corr_tangential,radial_gradient,8,0.1,47,-0.40667754825776525,-0.11653259091836016,-0.2901449573394051,0.2901449573394051,0.20356509511381607,0.08657986222558903,0.325,True
14,density_dense_tangential,density_level,8,0.1,47,0.5505468062253199,-0.2204612094900336,0.7710080157153535,0.7710080157153535,0.23572923700930443,0.5352787787060491,0.0,True
14,density_middle_tangential,density_level,8,0.1,47,0.6122529350856198,-0.1252190321906036,0.7374719672762234,0.7374719672762234,0.1926949208978359,0.5447770463783875,0.0,True
14,density_sparse_tangential,density_level,8,0.1,47,-0.010712431947355078,-0.2761016929929306,0.2653892610455755,0.2653892610455755,0.20599059460596905,0.05939866643960642,0.325,True
14,density_sparse_minus_dense,density_contrast,8,0.1,47,-0.5469213135392326,-0.005737196917379617,-0.541184116621853,0.541184116621853,0.1659998545704672,0.3751842620513858,0.15,True
14,density_knn_distance_corr_tangential,density_gradient,8,0.1,47,-0.3587328226021942,-0.08087388859800637,-0.2778589340041878,0.2778589340041878,0.23776830230822407,0.04009063169596375,0.475,False
15,all_tangential,diffuse_baseline,8,0.1,96,0.5850633982347007,-0.27189258976616987,0.8569559880008706,0.8569559880008706,0.192472712065022,0.6644832759358485,0.0,True
15,shell_core_tangential,radial_level,8,0.1,96,0.7006339212385138,-0.40816713542450384,1.1088010566630175,1.1088010566630175,0.17828074796736487,0.9305203086956526,0.0,True
15,shell_middle_tangential,radial_level,8,0.1,96,0.46683309711587895,-0.19969510578920852,0.6665282029050874,0.6665282029050874,0.21443127537968093,0.4520969275254065,0.0,True
15,shell_edge_tangential,radial_level,8,0.1,96,0.42614918850868294,-0.2031598174299543,0.6293090059386373,0.6293090059386373,0.2330465343321254,0.39626247160651185,0.05,True
15,shell_edge_minus_core,radial_contrast,8,0.1,96,-0.44790552947865714,0.2508522819328821,-0.6987578114115393,0.6987578114115393,0.16700618629861108,0.5317516251129282,0.05,True
15,shell_middle_minus_core,radial_contrast,8,0.1,96,-0.2727056638887909,0.02862582876472762,-0.30133149265351855,0.30133149265351855,0.17164283025245491,0.12968866240106364,0.25,True
15,shell_radius_corr_tangential,radial_gradient,8,0.1,96,-0.3701848741205863,0.10821016152292517,-0.4783950356435115,0.4783950356435115,0.15860277860745026,0.31979225703606123,0.025,True
15,density_dense_tangential,density_level,8,0.1,96,0.6305349887459559,-0.1923443029778043,0.8228792917237602,0.8228792917237602,0.12796870454494752,0.6949105871788126,0.0,True
15,density_middle_tangential,density_level,8,0.1,96,0.6468903780236425,-0.030148811265529374,0.6770391892891718,0.6770391892891718,0.22694057887331004,0.4500986104158618,0.025,True
15,density_sparse_tangential,density_level,8,0.1,96,0.30641270021098654,-0.08373745146879874,0.3901501516797853,0.3901501516797853,0.2829071421641087,0.10724300951567656,0.3,True
15,density_sparse_minus_dense,density_contrast,8,0.1,96,-0.17277879728151638,-0.03639277211905123,-0.13638602516246515,0.13638602516246515,0.19203381203830275,-0.0556477868758376,0.575,False
15,density_knn_distance_corr_tangential,density_gradient,8,0.1,96,-0.17034151652779167,0.11574850876270526,-0.28609002529049693,0.28609002529049693,0.13789428377014185,0.14819574152035508,0.3,True
16,all_tangential,diffuse_baseline,8,0.1,84,0.39402351408645603,-0.3161561353684143,0.7101796494548703,0.7101796494548703,0.232662680605002,0.47751696884986833,0.05,True
16,shell_core_tangential,radial_level,8,0.1,84,0.35434236794433277,-0.04623320552143617,0.40057557346576894,0.40057557346576894,0.182594479945746,0.21798109352002293,0.1,True
16,shell_middle_tangential,radial_level,8,0.1,84,0.11425502723379333,-0.45297273648572517,0.5672277637195184,0.5672277637195184,0.19275258988508226,0.3744751738344362,0.05,True
16,shell_edge_tangential,radial_level,8,0.1,84,0.5498326904680796,-0.4150690973165341,0.9649017877846137,0.9649017877846137,0.15336980725962895,0.8115319805249848,0.0,True
16,shell_edge_minus_core,radial_contrast,8,0.1,84,-0.3037478405357484,-0.273914539146362,-0.02983330138938639,0.02983330138938639,0.1512672877473772,-0.1214339863579908,0.925,False
