target,covariate,left_out_ob,spearman_rho_loo,theil_sen_slope_loo
t1_k8_event_abs_z,median_swarm_radius,2,0.32714138286893707,0.003854289520263287
t1_k8_event_abs_z,median_swarm_radius,3,0.2672858617131063,0.002894034974738403
t1_k8_event_abs_z,median_swarm_radius,4,0.22807017543859648,0.0019588394092371927
t1_k8_event_abs_z,median_swarm_radius,5,0.28173374613003094,0.003323474548733841
t1_k8_event_abs_z,median_swarm_radius,6,0.21775025799793601,0.0019588394092371927
t1_k8_event_abs_z,median_swarm_radius,7,0.3188854489164087,0.0036579334567576095
t1_k8_event_abs_z,median_swarm_radius,8,0.2714138286893705,0.0021052316903415174
t1_k8_event_abs_z,median_swarm_radius,9,0.3023735810113519,0.002894034974738403
t1_k8_event_abs_z,median_swarm_radius,10,0.3065015479876161,0.0031749878186210067
t1_k8_event_abs_z,median_swarm_radius,11,0.5128998968008256,0.0044333620008840105
t1_k8_event_abs_z,median_swarm_radius,12,0.2672858617131063,0.002894034974738403
t1_k8_event_abs_z,median_swarm_radius,13,0.29411764705882354,0.002183011602140422
t1_k8_event_abs_z,median_swarm_radius,14,0.28792569659442724,0.002183011602140422
t1_k8_event_abs_z,median_swarm_radius,15,0.27966976264189886,0.0028451149797486712
t1_k8_event_abs_z,median_swarm_radius,16,0.31475748194014447,0.002894034974738403
t1_k8_event_abs_z,median_swarm_radius,17,0.2837977296181631,0.002183011602140422
t1_k8_event_abs_z,median_swarm_radius,18,0.2714138286893705,0.002996350930863403
t1_k8_event_abs_z,median_swarm_radius,19,0.3023735810113519,0.002894034974738403
t1_k8_event_abs_z,q90_swarm_radius,1,0.304437564499484,0.0018994594442513458
t1_k8_event_abs_z,q90_swarm_radius,2,0.18059855521155832,0.0013402529452487882
t1_k8_event_abs_z,q90_swarm_radius,3,0.19504643962848298,0.0013402529452487882
t1_k8_event_abs_z,q90_swarm_radius,4,0.1434468524251806,0.0009836751170393667
t1_k8_event_abs_z,q90_swarm_radius,5,0.15583075335397317,0.0010327700771005724
t1_k8_event_abs_z,q90_swarm_radius,6,0.04024767801857585,0.0002675864214954517
t1_k8_event_abs_z,q90_swarm_radius,7,0.18472652218782248,0.0013402529452487882
t1_k8_event_abs_z,q90_swarm_radius,8,0.20743034055727555,0.0012364307000703493
t1_k8_event_abs_z,q90_swarm_radius,9,0.21362229102167182,0.0012364307000703493
t1_k8_event_abs_z,q90_swarm_radius,10,0.16202270381836945,0.0009425199176719115
t1_k8_event_abs_z,q90_swarm_radius,11,0.32920536635706915,0.002060511576450623
t1_k8_event_abs_z,q90_swarm_radius,12,0.17234262125902994,0.0012364307000703493
t1_k8_event_abs_z,q90_swarm_radius,13,0.25077399380804954,0.0017756984862434611
t1_k8_event_abs_z,q90_swarm_radius,14,0.14551083591331268,0.0009425199176719115
t1_k8_event_abs_z,q90_swarm_radius,15,0.11455108359133127,0.0005444663524469923
t1_k8_event_abs_z,q90_swarm_radius,16,0.19504643962848298,0.0009836751170393667
t1_k8_event_abs_z,q90_swarm_radius,17,0.17440660474716202,0.0009836751170393667
t1_k8_event_abs_z,q90_swarm_radius,18,0.16821465428276575,0.0012364307000703493
t1_k8_event_abs_z,q90_swarm_radius,19,0.14963880288957687,0.0009425199176719115
t1_k8_event_abs_z,swarm_radius_cv,1,-0.12487100103199174,-2.0265625933113087
t1_k8_event_abs_z,swarm_radius_cv,2,0.011351909184726523,-0.5650700021687723
t1_k8_event_abs_z,swarm_radius_cv,3,-0.07946336429308566,-1.9338421320938581
t1_k8_event_abs_z,swarm_radius_cv,4,0.04231166150670795,-0.5650700021687723
t1_k8_event_abs_z,swarm_radius_cv,5,0.017543859649122806,-0.1619442276269361
t1_k8_event_abs_z,swarm_radius_cv,6,0.11661506707946337,1.193272272410619
t1_k8_event_abs_z,swarm_radius_cv,7,0.011351909184726523,-0.7788042476165838
t1_k8_event_abs_z,swarm_radius_cv,8,0.009287925696594427,-0.7788042476165838
t1_k8_event_abs_z,swarm_radius_cv,9,0.007223942208462332,-0.1619442276269361
t1_k8_event_abs_z,swarm_radius_cv,10,0.023735810113519093,-0.1619442276269361
t1_k8_event_abs_z,swarm_radius_cv,11,-0.18059855521155832,-2.1966844555636054
t1_k8_event_abs_z,swarm_radius_cv,12,0.025799793601651185,0.16057536275939832
t1_k8_event_abs_z,swarm_radius_cv,13,0.0030959752321981426,-0.5650700021687723
t1_k8_event_abs_z,swarm_radius_cv,14,0.005159958720330237,-0.5650700021687723
t1_k8_event_abs_z,swarm_radius_cv,15,-0.12487100103199174,-2.0265625933113087
t1_k8_event_abs_z,swarm_radius_cv,16,0.017543859649122806,-0.1619442276269361
t1_k8_event_abs_z,swarm_radius_cv,17,0.017543859649122806,-0.1619442276269361
t1_k8_event_abs_z,swarm_radius_cv,18,0.025799793601651185,-0.5650700021687723
t1_k8_event_abs_z,swarm_radius_cv,19,0.005159958720330237,-0.5650700021687723
t1_k8_event_abs_z,n_events,1,0.02685951846458876,8.059529369840546e-05
t1_k8_event_abs_z,n_events,2,0.14359511794530144,0.0012653385083645301
t1_k8_event_abs_z,n_events,3,0.084710789003703,0.000492596597557518
t1_k8_event_abs_z,n_events,4,0.12603312510307033,0.000701523976480932
t1_k8_event_abs_z,n_events,5,0.13739676753039634,0.0009573574427437615
t1_k8_event_abs_z,n_events,6,0.2500001334011723,0.0017039970885790558
t1_k8_event_abs_z,n_events,7,0.14152900114033307,0.0009573574427437615
t1_k8_event_abs_z,n_events,8,0.11254518794600854,0.0006871422570159211
t1_k8_event_abs_z,n_events,9,0.22302532657190682,0.001692437850847475
t1_k8_event_abs_z,n_events,10,0.16520394560881987,0.0014550951536555252
t1_k8_event_abs_z,n_events,11,0.014462817634778562,8.059529369840546e-05
t1_k8_event_abs_z,n_events,12,0.14359511794530144,0.0012653385083645301
t1_k8_event_abs_z,n_events,13,0.09400831462606066,0.00067276053755091
t1_k8_event_abs_z,n_events,14,0.15805793558008,0.0014114326915238174
t1_k8_event_abs_z,n_events,15,0.0785124385887979,0.000492596597557518
t1_k8_event_abs_z,n_events,16,0.12493548386667003,0.0013383855999441739
t1_k8_event_abs_z,n_events,17,0.19111580445957385,0.0014585062835095648
t1_k8_event_abs_z,n_events,18,0.17252075321485857,0.0014114326915238174
t1_k8_event_abs_z,n_events,19,0.021694226452167842,8.059529369840546e-05
t1_k8_event_abs_z,event_rate_per_sec,1,-0.11867905056759546,-0.32828391954575875
t1_k8_event_abs_z,event_rate_per_sec,2,-0.017543859649122806,-0.23373464203489533
t1_k8_event_abs_z,event_rate_per_sec,3,-0.11867905056759546,-0.3640882957960864
t1_k8_event_abs_z,event_rate_per_sec,4,-0.058823529411764705,-0.31668676799436096
t1_k8_event_abs_z,event_rate_per_sec,5,0.02786377708978328,-0.0465108786764288
