ob,variable,relative_time_sec,real_median_aligned_z,real_q25_aligned_z,real_q75_aligned_z,null_median_aligned_z,null_q25_aligned_z,null_q75_aligned_z,real_minus_null_aligned_z,n_events
2,shell_core_tangential,0.45,-0.2272320436474931,-0.7191233025224577,0.3502973694238698,-0.0023541192261689187,-0.1153581816091511,0.07859771651543558,-0.2248779244213242,43
2,shell_core_tangential,0.5,0.0269677937257408,-0.3195785542157808,0.6075158855176539,-0.016433508218619282,-0.11284111280486446,0.10704723517057133,0.04340130194436008,43
2,shell_middle_tangential,-0.5,0.1090882585175641,-0.8743946677082923,0.7806995512111766,0.0030486278984347415,-0.1053057175507511,0.11858130059785119,0.10603963061912935,43
2,shell_middle_tangential,-0.45,0.0339948879215895,-0.5243652882326192,0.6455792790120993,-0.00839973332838179,-0.11227043794498995,0.14328288597750757,0.04239462124997129,43
2,shell_middle_tangential,-0.4,-0.0011577948468897,-0.4931453032668405,0.7871549082339233,-0.01366908976760237,-0.05823494879136076,0.11489564216046795,0.012511294920712668,43
2,shell_middle_tangential,-0.35,0.1108716282269868,-0.5845068289713957,0.5332817492126223,0.021723947809197362,-0.05997828750861847,0.1216206266915445,0.08914768041778945,43
2,shell_middle_tangential,-0.3,0.4010479475922869,-0.3217444621883382,0.7873927255483466,-0.021810233830526826,-0.12199111052432463,0.09257464999570704,0.42285818142281373,43
2,shell_middle_tangential,-0.25,0.12080569521297041,-0.4981910046486436,0.5139164611414142,-0.029349180958797766,-0.08400937776170575,0.13905597745608544,0.15015487617176818,43
2,shell_middle_tangential,-0.2,-0.0686566873023853,-0.5695598559153179,0.5850812543821999,0.009224878375336122,-0.12256948944231592,0.09471419368225348,-0.07788156567772142,43
2,shell_middle_tangential,-0.15,-0.033959795724388564,-0.6670614058186212,0.3440525901303707,-0.0008903192190648432,-0.10463467740603195,0.06131151302087329,-0.03306947650532372,43
2,shell_middle_tangential,-0.1,-0.3500618254128704,-0.7496609287497491,0.4180277432319385,-0.02152519342566725,-0.09583116368690651,0.07769088511640822,-0.3285366319872032,43
2,shell_middle_tangential,-0.05,-0.18806538008919685,-0.8924851385732296,0.403859183833744,0.019027777331435347,-0.134523035969886,0.10382158669129228,-0.2070931574206322,43
2,shell_middle_tangential,-0.0,-0.1763298528490789,-0.6781312278298501,0.6767990059599887,0.019959754752588384,-0.12498594932039014,0.11246271955783804,-0.19628960760166728,43
