ob,dataset,history_window_sec,n_frames,finite_current_state_fraction,finite_activity_fraction,finite_dRdt_fraction,path_feature_coverage,theta_valid_fraction,turning_valid_fraction,median_path_length,q05_path_length,q95_path_length,theta_resultant_length,median_abs_turning_proxy_rad,q95_abs_turning_proxy_rad,median_path_velocity_norm,q99_abs_dRdt
8,Ob8.txt,0.75,1898,1.0,1.0,1.0,0.9957850368809273,0.9857744994731296,0.9620653319283456,0.6550037088388656,0.0958903705145319,1.9110773212151881,0.039760782015486655,0.30962437273881516,3.0392462255365125,1.1165266304249095,2.9790170906324542
9,Ob9.txt,0.25,990,1.0,1.0,1.0,0.996969696969697,0.9474747474747475,0.8888888888888888,0.26186107954417953,0.050590796420928084,0.7298313836612762,0.01951993956621811,0.17673238195444632,2.0649469072642104,1.1060967785469478,3.309445217043913
9,Ob9.txt,0.5,990,1.0,1.0,1.0,0.9939393939393939,0.9777777777777777,0.9535353535353536,0.4738908377731922,0.10682624681575192,1.3590008314409163,0.017750244354505167,0.32948995926667224,2.7605973680793703,1.1060967785469478,3.309445217043913
9,Ob9.txt,0.75,990,1.0,1.0,1.0,0.9919191919191919,0.9858585858585859,0.9676767676767677,0.6748191732464932,0.13068590170714894,1.8847671494046578,0.009115555983971457,0.48762030381464927,2.9321371402172423,1.1060967785469478,3.309445217043913
10,Ob10.txt,0.25,1498,1.0,1.0,1.0,0.9986648865153538,0.9586114819759679,0.910547396528705,0.27995067249839695,0.055217167264094175,0.7529573665957382,0.016958809666939852,0.13648327088356157,2.026283626926116,1.169739555858339,2.9862505819141796
10,Ob10.txt,0.5,1498,1.0,1.0,1.0,0.9973297730307076,0.9839786381842457,0.9619492656875834,0.5190333405387648,0.10217987672986992,1.382124143216119,0.012523280234834181,0.2683601505945307,2.837352338495934,1.169739555858339,2.9862505819141796
10,Ob10.txt,0.75,1498,1.0,1.0,1.0,0.9953271028037384,0.985981308411215,0.9719626168224299,0.6962391271633736,0.1374250522023274,1.899858343680561,0.02003508704329161,0.43877502049687744,2.9660655642600178,1.169739555858339,2.9862505819141796
11,Ob11.txt,0.25,1997,1.0,1.0,1.0,0.99899849774662,0.9208813219829745,0.8157235853780671,0.2968558382921198,0.03596733196086913,0.9914214016302996,0.029319657108612836,0.05412946322881954,1.900839610414851,1.2501966767018102,3.468132308817411
11,Ob11.txt,0.5,1997,1.0,1.0,1.0,0.9979969954932398,0.9624436654982473,0.9043565348022033,0.5519590410939305,0.06272528741372636,1.871665545910409,0.020167366671275617,0.11351166872008592,3.075437297372947,1.2501966767018102,3.468132308817411
11,Ob11.txt,0.75,1997,1.0,1.0,1.0,0.9964947421131698,0.9754631947921882,0.9484226339509264,0.7602434187260719,0.08683173628455276,2.5614784824145893,0.027155584161886622,0.1802214131908006,3.0958347364178938,1.2501966767018102,3.468132308817411
12,Ob12.txt,0.25,1997,1.0,1.0,1.0,0.99899849774662,0.9494241362043064,0.8963445167751627,0.27961635209890506,0.05108103043430724,0.8870918640673016,0.018420444902508704,0.13814959037958385,1.9159968695260672,1.1529706250819782,3.484839640413308
12,Ob12.txt,0.5,1997,1.0,1.0,1.0,0.9979969954932398,0.9839759639459189,0.9614421632448673,0.5144320855012117,0.09806493162084372,1.6545043932294163,0.021196664973185012,0.2691119582839089,2.82848737777784,1.1529706250819782,3.484839640413308
12,Ob12.txt,0.75,1997,1.0,1.0,1.0,0.9964947421131698,0.9894842263395093,0.9774661992989484,0.6983218038742094,0.1335181647028495,2.210720011132907,0.02229596778644629,0.451717357991927,3.0125408316545736,1.1529706250819782,3.484839640413308
13,Ob13.txt,0.25,1998,1.0,1.0,1.0,0.9984984984984985,0.9529529529529529,0.8928928928928929,0.2814610903091137,0.05449084186981004,0.88998974914271,0.01490792670439421,0.11449012197979874,2.1112341425324024,1.1662729983079945,3.5970162971654633
13,Ob13.txt,0.5,1998,1.0,1.0,1.0,0.996996996996997,0.980980980980981,0.9574574574574575,0.5232240614390079,0.08997406360701435,1.6620921093686638,0.014326429940482211,0.2309365426395366,2.837021260605769,1.1662729983079945,3.5970162971654633
