spectral_set,n_runs,median_run_duration_sec,q75_run_duration_sec,q90_run_duration_sec,q95_run_duration_sec,mean_run_duration_sec,frac_runs_ge_0p1s,frac_runs_ge_0p2s,frac_runs_ge_0p5s,frac_runs_ge_1p0s,frac_runs_ge_2p0s,surrogate_type,replicate
high,7391,0.039999999999992,0.159999999999968,0.6899999999998621,1.209999999999758,0.22583276958459686,0.306047896089839,0.22270328778243811,0.13002300094709782,0.06467325125152212,0.016641861723718034,coupled_phase_rank,2
low,7387,0.039999999999992,0.159999999999968,0.6899999999999089,1.1899999999999644,0.22682685799373975,0.3066197373764722,0.2180858264518749,0.1281981860024367,0.06511439014484906,0.01759848382293218,coupled_phase_rank,2
all,14778,0.039999999999992,0.159999999999968,0.6899999999998621,1.19999999999976,0.22632967925291048,0.30633373934226554,0.22039518202733793,0.12911084043848964,0.06489376099607524,0.017120043307619435,coupled_phase_rank,2
high,83695,0.0099999999999997,0.0199999999999994,0.039999999999992,0.04999999999999,0.019993070075867796,0.0009439034589879921,0.0,0.0,0.0,0.0,label_shuffle,3
low,83700,0.0099999999999997,0.0199999999999994,0.039999999999992,0.04999999999999,0.019977299880522766,0.0009557945041816009,0.0,0.0,0.0,0.0,label_shuffle,3
all,167395,0.0099999999999997,0.0199999999999994,0.039999999999992,0.04999999999999,0.019985184742671594,0.0009498491591744078,0.0,0.0,0.0,0.0,label_shuffle,3
high,8588,0.0299999999999991,0.119999999999976,0.4799999999999285,0.869999999999826,0.17032021425242022,0.2710759198882161,0.1819981369352585,0.09583139264089427,0.04017233348858873,0.009082440614811364,independent_phase_rank,3
low,8593,0.0299999999999991,0.139999999999972,0.559999999999888,1.0199999999999694,0.1946549517048476,0.287210520190853,0.19888281159082974,0.11032235540556266,0.05155359013150239,0.012335622017921564,independent_phase_rank,3
all,17181,0.0299999999999991,0.129999999999974,0.519999999999896,0.939999999999812,0.18249112391592692,0.2791455677783598,0.19044293114486932,0.10307898259705489,0.045864617891857286,0.0107095046854083,independent_phase_rank,3
high,7366,0.039999999999992,0.159999999999968,0.6899999999998621,1.1799999999999646,0.22653543307083301,0.30355688297583494,0.21694270974748847,0.12693456421395602,0.06502850936736357,0.01656258484930763,coupled_phase_rank,3
low,7365,0.039999999999992,0.159999999999968,0.669999999999866,1.19999999999976,0.22761575016968838,0.31255940257976916,0.22145281737949762,0.12559402579769177,0.06313645621181263,0.019687712152070606,coupled_phase_rank,3
all,14731,0.039999999999992,0.159999999999968,0.679999999999864,1.189999999999762,0.22707555495210854,0.3080578372140384,0.21919761048129793,0.12626434050641505,0.06408254700970742,0.018125042427533773,coupled_phase_rank,3
