lag_sec,spectral_set,median_retention,q25_retention,q75_retention,median_retention_lift,q25_retention_lift,frac_ob_lift_positive,median_mass,median_origin_count,surrogate_type,replicate
1.0,low,0.5017428609733208,0.4985892263159709,0.5056231798199475,0.002642543148706822,-0.00045410605066167897,0.7368421052631579,0.4999665708363977,9892.0,label_shuffle,5
0.05,high,0.8698173383589446,0.8573891126306801,0.8794944706523191,0.3982941324605343,0.3904648929803517,1.0,0.466817763297684,8388.0,independent_phase_rank,5
0.05,low,0.8855972054279189,0.8774776351320042,0.8938103738792603,0.3550445858579502,0.3400372466356116,1.0,0.533182236702316,9613.0,independent_phase_rank,5
0.1,high,0.8219645293315143,0.8075812803116893,0.8317479006810191,0.35190400957359336,0.33927795893901913,1.0,0.466817763297684,8383.0,independent_phase_rank,5
0.1,low,0.8426400947119179,0.831252719525154,0.8497563379624801,0.31226124527182664,0.29923381216380945,1.0,0.533182236702316,9613.0,independent_phase_rank,5
0.2,high,0.7506364267530664,0.7382267700702184,0.7625349033129092,0.28073591600102493,0.275092870864733,1.0,0.466817763297684,8373.0,independent_phase_rank,5
0.2,low,0.7795166402535658,0.7743831665346002,0.7920161514565414,0.249167381804131,0.23752780766864112,1.0,0.533182236702316,9613.0,independent_phase_rank,5
0.5,high,0.6244667358468812,0.6067270568013995,0.6544935184773972,0.1486232594854326,0.1379166586061142,1.0,0.466817763297684,8350.0,independent_phase_rank,5
0.5,low,0.6619585687382298,0.6563838403190831,0.6999269380669961,0.13998958222017865,0.12310891844798144,1.0,0.533182236702316,9613.0,independent_phase_rank,5
1.0,high,0.5435943060498221,0.5159097075559558,0.5638962906689111,0.06808827787960264,0.05375664483803577,1.0,0.466817763297684,8327.0,independent_phase_rank,5
1.0,low,0.588394907117512,0.5841033057290949,0.6261244758767359,0.06512981679437546,0.04311305902695134,1.0,0.533182236702316,9582.0,independent_phase_rank,5
0.05,high,0.9035856573705179,0.8899168969023876,0.9099655011497081,0.4019282851123239,0.39127650654831997,1.0,0.49939969984992494,9910.0,coupled_phase_rank,5
0.05,low,0.9026058959653889,0.8906223976641259,0.9112032909577082,0.4025605620636046,0.38929912318752136,1.0,0.5006003001500751,9939.0,coupled_phase_rank,5
0.1,high,0.8588645418326694,0.8439182298976725,0.8657407376367328,0.3564626202954396,0.3459482943329504,1.0,0.49939969984992494,9910.0,coupled_phase_rank,5
0.1,low,0.8573585665391584,0.8451524700512758,0.8669978293984639,0.3597604880763882,0.3437617552921095,1.0,0.5006003001500751,9934.0,coupled_phase_rank,5
0.2,high,0.7914228052472251,0.7879212793910529,0.8023711943951122,0.29560052076230986,0.2882686658602198,1.0,0.49939969984992494,9910.0,coupled_phase_rank,5
0.2,low,0.7963607437605648,0.7884280171410085,0.8029505167087002,0.2921830282454799,0.2877957354210517,1.0,0.5006003001500751,9924.0,coupled_phase_rank,5
0.5,high,0.6749399519615693,0.6577699293642785,0.6857658623849723,0.17480657416897183,0.1608095477303077,1.0,0.49939969984992494,9890.0,coupled_phase_rank,5
0.5,low,0.6734216158373462,0.6626600298109708,0.6899188059567509,0.1735549936299437,0.15962041144494166,1.0,0.5006003001500751,9895.0,coupled_phase_rank,5
1.0,high,0.5809283551967709,0.5683380269194116,0.596893999880938,0.08295050886941235,0.06916348091911143,1.0,0.49939969984992494,9840.0,coupled_phase_rank,5
1.0,low,0.5824460145288088,0.5691374964978164,0.5942402147758084,0.08160498925496734,0.06955867492195406,1.0,0.5006003001500751,9895.0,coupled_phase_rank,5
0.05,high,0.4993690851735016,0.49825177338478555,0.5021749140745306,-0.0002252139577668677,-0.001698884709091103,0.47368421052631576,0.5000334291636023,9893.0,label_shuffle,6
0.05,low,0.5000500350245172,0.4982048333448735,0.5016261883718924,-0.0002751663504981794,-0.0016618946766696063,0.47368421052631576,0.4999665708363977,9938.0,label_shuffle,6
0.1,high,0.4991967871485944,0.4963349575113214,0.5019274206434771,-0.00045736710942267944,-0.003614815570854135,0.42105263157894735,0.5000334291636023,9891.0,label_shuffle,6
0.1,low,0.5,0.4953296207786312,0.5023720421704538,-0.0003146912885759745,-0.003682600977156697,0.42105263157894735,0.4999665708363977,9936.0,label_shuffle,6
0.2,high,0.5003495455907321,0.49671133005634127,0.5012763543229948,0.00046885465505697166,-0.0027328239890919703,0.5263157894736842,0.5000334291636023,9885.0,label_shuffle,6
0.2,low,0.49969921796671346,0.49709040548259975,0.5012016422457395,0.0002245068756133728,-0.0026463268365946313,0.5263157894736842,0.4999665708363977,9934.0,label_shuffle,6
0.5,high,0.5009030704394943,0.49881022226126964,0.5024057493411587,-0.0006302727829913257,-0.0012568996144627642,0.47368421052631576,0.5000334291636023,9867.0,label_shuffle,6
0.5,low,0.49904723698726305,0.49783830639821514,0.5022453104899938,-0.000750972454263199,-0.0016420259006260929,0.42105263157894735,0.4999665708363977,9921.0,label_shuffle,6
1.0,high,0.5017550897603049,0.49701242691505565,0.504288043886401,0.0015769431794372402,-0.003193259244171298,0.5789473684210527,0.5000334291636023,9844.0,label_shuffle,6
1.0,low,0.49969666329625884,0.49779084024161,0.5036157033502883,0.0016655720209619584,-0.0024280249499763207,0.5789473684210527,0.4999665708363977,9897.0,label_shuffle,6
0.05,high,0.868461776539771,0.8635704184154342,0.8858379805358306,0.4018362408844995,0.3884315719660331,1.0,0.47135334386519223,8623.0,independent_phase_rank,6
0.05,low,0.8869876641464385,0.8771380928416539,0.8976593985739383,0.35456719281556637,0.34649879704413994,1.0,0.5286466561348078,9677.0,independent_phase_rank,6
0.1,high,0.8261878966104318,0.8137228946653337,0.840220761371206,0.35265273461427626,0.34221389336918095,1.0,0.47135334386519223,8623.0,independent_phase_rank,6
