variable,family,n_ob,n_events,null_median_low_to_high_delta_z,null_median_high_to_low_delta_z,null_median_direction_contrast_z,null_abs_median_direction_contrast_z,null_direction_contrast_sign_consistency,replicate
knn_resid_speed_cov_cumulant,empirical_cumulant,19,1471,-0.031445740272205036,0.08461960884818424,-0.0501231399369747,0.0501231399369747,0.5789473684210527,71
knn_resid_alignment_observed,observed_pair,19,1471,0.07312880965605137,0.05046458146789992,0.016909532253842202,0.016909532253842202,0.631578947368421,71
knn_resid_alignment_expected,one_fish_conditional_baseline,19,1470,-0.06489154764303207,0.08946902028467214,-0.23379289744514017,0.23379289744514017,0.631578947368421,72
knn_resid_alignment_cumulant,empirical_cumulant,19,1470,-0.09019982033003246,0.005536568205801784,-0.19600786020054434,0.19600786020054434,0.6842105263157895,72
knn_resid_speed_cov_observed,observed_pair,19,1470,0.05535881335688492,-0.0219919929000168,0.1234794538963008,0.1234794538963008,0.6842105263157895,72
knn_resid_speed_cov_cumulant,empirical_cumulant,19,1470,0.03673825613414472,-0.02182619813679182,0.12262607317900792,0.12262607317900792,0.631578947368421,72
knn_resid_alignment_observed,observed_pair,19,1470,-0.1645960988952987,0.0377878636139557,-0.1090735276343981,0.1090735276343981,0.7894736842105263,72
knn_resid_radial_cov_cumulant,empirical_cumulant,19,1470,-0.0010730320663508292,0.0008770028427150245,-0.09926995134154111,0.09926995134154111,0.5789473684210527,72
knn_resid_tangential_cov_observed,observed_pair,19,1470,0.009444766859811105,-0.07728905474496181,0.08673382160477291,0.08673382160477291,0.5789473684210527,72
knn_resid_tangential_cov_cumulant,empirical_cumulant,19,1470,0.05180081517912502,-0.10330916990240513,0.050164969960786496,0.050164969960786496,0.631578947368421,72
knn_resid_radial_cov_observed,observed_pair,19,1470,-0.028517898003922793,0.0171963191743445,-0.04034377525771876,0.04034377525771876,0.5789473684210527,72
knn_resid_speed_cov_expected,one_fish_conditional_baseline,19,1470,0.03203055535616273,0.10236757563472643,-0.03865819503863424,0.03865819503863424,0.5263157894736842,72
knn_resid_radial_cov_expected,one_fish_conditional_baseline,19,1470,0.03203055535616295,0.10236757563472654,-0.03865819503863377,0.03865819503863377,0.5263157894736842,72
knn_resid_tangential_cov_expected,one_fish_conditional_baseline,19,1470,0.03203055535616278,0.1023675756347262,-0.038658195038631896,0.038658195038631896,0.5263157894736842,72
knn_resid_tangential_cov_expected,one_fish_conditional_baseline,19,1470,0.0766415390531266,-0.08246249399038283,0.18262850652870494,0.18262850652870494,0.7894736842105263,73
knn_resid_speed_cov_expected,one_fish_conditional_baseline,19,1470,0.07664153905312633,-0.08246249399038283,0.18262850652870463,0.18262850652870463,0.7894736842105263,73
knn_resid_radial_cov_expected,one_fish_conditional_baseline,19,1470,0.07664153905312662,-0.08246249399038236,0.18262850652870383,0.18262850652870383,0.7894736842105263,73
knn_resid_alignment_expected,one_fish_conditional_baseline,19,1470,-0.030076123799122723,0.027271704622974763,-0.10802298553140033,0.10802298553140033,0.631578947368421,73
knn_resid_tangential_cov_cumulant,empirical_cumulant,19,1470,0.0507145815103787,0.038895353766427845,0.07652953638481624,0.07652953638481624,0.5263157894736842,73
knn_resid_alignment_observed,observed_pair,19,1470,-0.08295579992249405,-0.11502714197846577,-0.06815697714469207,0.06815697714469207,0.5263157894736842,73
knn_resid_speed_cov_cumulant,empirical_cumulant,19,1470,0.040439108129752266,-0.11206188560795999,0.05141786277641448,0.05141786277641448,0.5789473684210527,73
knn_resid_tangential_cov_observed,observed_pair,19,1470,0.03721812694385876,0.029599373468209234,0.050665771891671325,0.050665771891671325,0.631578947368421,73
knn_resid_radial_cov_cumulant,empirical_cumulant,19,1470,0.05000835427557382,-0.06368058807725091,0.024910566757868735,0.024910566757868735,0.5263157894736842,73
knn_resid_radial_cov_observed,observed_pair,19,1470,0.009528597568581376,-0.04586866066395688,0.01488001583602222,0.01488001583602222,0.5263157894736842,73
knn_resid_speed_cov_observed,observed_pair,19,1470,0.047248881582781066,-0.08772549808163196,0.014788889691145973,0.014788889691145973,0.5789473684210527,73
knn_resid_alignment_cumulant,empirical_cumulant,19,1470,-0.04647551289125207,-0.08641266705284692,-0.0011613866906762804,0.0011613866906762804,0.5263157894736842,73
knn_resid_speed_cov_observed,observed_pair,19,1471,0.004198515435974395,0.11505111594091982,-0.12798586028291148,0.12798586028291148,0.5789473684210527,74
knn_resid_radial_cov_cumulant,empirical_cumulant,19,1471,-0.0837353815859212,0.024816705207224843,-0.05979857379953214,0.05979857379953214,0.5789473684210527,74
knn_resid_alignment_expected,one_fish_conditional_baseline,19,1471,-0.06664895723895764,0.04261453398502141,-0.058632916207480734,0.058632916207480734,0.5263157894736842,74
knn_resid_tangential_cov_cumulant,empirical_cumulant,19,1471,0.012166815789339674,-0.04267790581352654,0.054844721602866214,0.054844721602866214,0.5789473684210527,74
knn_resid_alignment_observed,observed_pair,19,1471,-0.0038755428571888295,-0.038043598638367565,-0.054208462284808745,0.054208462284808745,0.5789473684210527,74
knn_resid_radial_cov_observed,observed_pair,19,1471,-0.10189492343447698,0.019187564623192932,-0.05282068545332439,0.05282068545332439,0.5789473684210527,74
knn_resid_alignment_cumulant,empirical_cumulant,19,1471,-0.04578171795511432,0.02508314264884237,-0.049840637810669816,0.049840637810669816,0.631578947368421,74
knn_resid_speed_cov_cumulant,empirical_cumulant,19,1471,-0.005754341511871819,0.07765103199193218,-0.04648881499113232,0.04648881499113232,0.5789473684210527,74
knn_resid_tangential_cov_observed,observed_pair,19,1471,0.00891691926272872,-0.03827118615631726,-0.01998520788028696,0.01998520788028696,0.5263157894736842,74
knn_resid_tangential_cov_expected,one_fish_conditional_baseline,19,1471,-0.032301965218708595,-0.03491060583536296,-0.010895880896146848,0.010895880896146848,0.5263157894736842,74
knn_resid_speed_cov_expected,one_fish_conditional_baseline,19,1471,-0.03230196521870915,-0.034910605835362984,-0.010895880896145849,0.010895880896145849,0.5263157894736842,74
knn_resid_radial_cov_expected,one_fish_conditional_baseline,19,1471,-0.032301965218709316,-0.034910605835362526,-0.010895880896145793,0.010895880896145793,0.5263157894736842,74
knn_resid_alignment_observed,observed_pair,19,1470,0.08378594461646496,-0.07310543934339614,0.18590573278693404,0.18590573278693404,0.6842105263157895,75
knn_resid_tangential_cov_observed,observed_pair,19,1470,-0.010088624749683212,0.07096665442666639,-0.17630630769783062,0.17630630769783062,0.631578947368421,75
knn_resid_tangential_cov_cumulant,empirical_cumulant,19,1470,-0.01400335690817582,0.07091312198499833,-0.15731526697794457,0.15731526697794457,0.631578947368421,75
knn_resid_alignment_cumulant,empirical_cumulant,19,1470,0.04655125138155336,-0.060432334563976065,0.15013638729547324,0.15013638729547324,0.631578947368421,75
knn_resid_tangential_cov_expected,one_fish_conditional_baseline,19,1470,0.055163069316915045,-0.036535766234010954,0.11289174818671871,0.11289174818671871,0.631578947368421,75
knn_resid_speed_cov_expected,one_fish_conditional_baseline,19,1470,0.055163069316915045,-0.03653576623401048,0.11289174818671727,0.11289174818671727,0.631578947368421,75
knn_resid_radial_cov_expected,one_fish_conditional_baseline,19,1470,0.05516306931691488,-0.036535766234010524,0.11289174818671602,0.11289174818671602,0.631578947368421,75
knn_resid_speed_cov_cumulant,empirical_cumulant,19,1470,0.014847512599245494,0.041687466792593275,-0.048017029506513834,0.048017029506513834,0.5789473684210527,75
knn_resid_alignment_expected,one_fish_conditional_baseline,19,1470,-0.004112464244198311,0.04457723544131495,0.03369001178945594,0.03369001178945594,0.5263157894736842,75
knn_resid_speed_cov_observed,observed_pair,19,1470,0.039002567502739116,0.03851358388890491,-0.022520431342561154,0.022520431342561154,0.5789473684210527,75
knn_resid_radial_cov_cumulant,empirical_cumulant,19,1470,0.06777769966686477,0.002753998310293493,0.014671759547592589,0.014671759547592589,0.5789473684210527,75
knn_resid_radial_cov_observed,observed_pair,19,1470,0.0613279034234927,0.0024111037857567907,0.004395828672231317,0.004395828672231317,0.5263157894736842,75
knn_resid_speed_cov_observed,observed_pair,19,1471,-0.017878482619225686,0.07464028160357716,-0.08107220726714578,0.08107220726714578,0.5789473684210527,76
knn_resid_alignment_cumulant,empirical_cumulant,19,1471,-0.03050007199439017,-0.12005312034587035,0.05839923575819572,0.05839923575819572,0.5789473684210527,76
knn_resid_tangential_cov_expected,one_fish_conditional_baseline,19,1471,0.035770966872012755,0.033344250786220386,-0.054097635609586185,0.054097635609586185,0.631578947368421,76
knn_resid_radial_cov_expected,one_fish_conditional_baseline,19,1471,0.035770966872011756,0.03334425078622011,-0.05409763560958556,0.05409763560958556,0.631578947368421,76
knn_resid_speed_cov_expected,one_fish_conditional_baseline,19,1471,0.035770966872012644,0.033344250786219554,-0.054097635609584555,0.054097635609584555,0.631578947368421,76
