variable,family,event_type,relative_time_sec,median_resid_z,q25_resid_z,q75_resid_z,n_events
knn_resid_speed_cov_cumulant,empirical_cumulant,high_to_low,0.2,0.003612027188866957,-0.6329159363584692,0.7003468832778423,750
knn_resid_speed_cov_cumulant,empirical_cumulant,high_to_low,0.25,-0.04834366963194291,-0.6724559961527724,0.7188555572612891,750
knn_resid_speed_cov_cumulant,empirical_cumulant,high_to_low,0.3,-0.010636814194497395,-0.6360155943195853,0.6985010451905769,750
knn_resid_speed_cov_cumulant,empirical_cumulant,high_to_low,0.35,-0.05108021001694118,-0.670598017108989,0.6547478335011099,750
knn_resid_speed_cov_cumulant,empirical_cumulant,high_to_low,0.4,0.007451798599597943,-0.6658216116975804,0.6230161623292457,750
knn_resid_speed_cov_cumulant,empirical_cumulant,high_to_low,0.45,-0.041631111204676316,-0.6743899291534694,0.749974000205542,750
knn_resid_speed_cov_cumulant,empirical_cumulant,high_to_low,0.5,-0.05914964616340661,-0.5940868624801865,0.7457088494723711,750
knn_resid_alignment_cumulant,empirical_cumulant,low_to_high,-0.5,-0.018886473695436497,-0.6380782245172604,0.6806850197228643,721
knn_resid_alignment_cumulant,empirical_cumulant,low_to_high,-0.45,0.0071029014409953765,-0.6178801745961346,0.6772189970577366,721
knn_resid_alignment_cumulant,empirical_cumulant,low_to_high,-0.4,0.027666230069882204,-0.678881661114571,0.7525275549846163,721
knn_resid_alignment_cumulant,empirical_cumulant,low_to_high,-0.35,-0.003969017218361278,-0.7307359968998399,0.6607726037380796,721
knn_resid_alignment_cumulant,empirical_cumulant,low_to_high,-0.3,0.006161788444840034,-0.6733422065879934,0.6453147720078581,721
knn_resid_alignment_cumulant,empirical_cumulant,low_to_high,-0.25,-0.015400431068052315,-0.6673194958813994,0.6680140873398054,721
knn_resid_alignment_cumulant,empirical_cumulant,low_to_high,-0.2,-0.026696150585027376,-0.6495592003024185,0.7015154213858141,721
knn_resid_alignment_cumulant,empirical_cumulant,low_to_high,-0.15,0.05494541451237506,-0.5420325005731401,0.6913937945148785,721
knn_resid_alignment_cumulant,empirical_cumulant,low_to_high,-0.1,0.04352697723102961,-0.5082704633282884,0.6890393709512863,721
knn_resid_alignment_cumulant,empirical_cumulant,low_to_high,-0.05,0.12691427062868657,-0.5438108502504782,0.7879608516115953,721
knn_resid_alignment_cumulant,empirical_cumulant,low_to_high,-0.0,0.07241986477225672,-0.6952241927289214,0.7150308880796035,721
knn_resid_alignment_cumulant,empirical_cumulant,low_to_high,0.05,0.04452044780583068,-0.6674801634340021,0.7286110502396007,721
knn_resid_alignment_cumulant,empirical_cumulant,low_to_high,0.1,-0.00023454074932084394,-0.6380935755748656,0.6924828879862946,721
knn_resid_alignment_cumulant,empirical_cumulant,low_to_high,0.15,-0.001115925280686344,-0.6784106571046128,0.6604629110873107,721
knn_resid_alignment_cumulant,empirical_cumulant,low_to_high,0.2,-0.07273965422342568,-0.6936726983892607,0.6384090229559514,721
knn_resid_alignment_cumulant,empirical_cumulant,low_to_high,0.25,-0.08645119903193606,-0.7569202599950969,0.6346598267180871,721
knn_resid_alignment_cumulant,empirical_cumulant,low_to_high,0.3,-0.11958240254356543,-0.7912728424593258,0.6039165974982733,721
knn_resid_alignment_cumulant,empirical_cumulant,low_to_high,0.35,-0.06424821653223203,-0.7105591506115123,0.590816384919142,721
knn_resid_alignment_cumulant,empirical_cumulant,low_to_high,0.4,-0.05674289531876513,-0.6868899904001059,0.6779170621619589,721
knn_resid_alignment_cumulant,empirical_cumulant,low_to_high,0.45,0.026662601102740036,-0.688513013196491,0.6353257253545267,721
knn_resid_alignment_cumulant,empirical_cumulant,low_to_high,0.5,-0.0028914534544862295,-0.6334939492622206,0.6375744373783808,721
knn_resid_alignment_cumulant,empirical_cumulant,high_to_low,-0.5,-0.021934407555471627,-0.6622840786388705,0.7411922097604958,750
knn_resid_alignment_cumulant,empirical_cumulant,high_to_low,-0.45,-0.09155114629571422,-0.722063877967229,0.7465289414172205,750
knn_resid_alignment_cumulant,empirical_cumulant,high_to_low,-0.4,-0.04490497692075981,-0.6750795010226188,0.6234252225065676,750
knn_resid_alignment_cumulant,empirical_cumulant,high_to_low,-0.35,-0.04507534930956638,-0.7323137754418816,0.6073523475423258,750
knn_resid_alignment_cumulant,empirical_cumulant,high_to_low,-0.3,0.005157685440386686,-0.7196309062506352,0.7085850775982514,750
knn_resid_alignment_cumulant,empirical_cumulant,high_to_low,-0.25,0.03844718958327549,-0.6277621239106308,0.7447008729333531,750
knn_resid_alignment_cumulant,empirical_cumulant,high_to_low,-0.2,0.057387617108689094,-0.618034561333935,0.7711166767403563,750
knn_resid_alignment_cumulant,empirical_cumulant,high_to_low,-0.15,-0.018152438650939046,-0.6058044660883353,0.7003863044051816,750
knn_resid_alignment_cumulant,empirical_cumulant,high_to_low,-0.1,0.03795657295380443,-0.657160862518785,0.6567639301027871,750
knn_resid_alignment_cumulant,empirical_cumulant,high_to_low,-0.05,0.024773202348039043,-0.5714816378163201,0.6580099683274016,750
knn_resid_alignment_cumulant,empirical_cumulant,high_to_low,-0.0,0.09167934499179213,-0.6441573781602855,0.7089464470250295,750
knn_resid_alignment_cumulant,empirical_cumulant,high_to_low,0.05,0.1305346667580692,-0.6007620071615626,0.7755902259220795,750
knn_resid_alignment_cumulant,empirical_cumulant,high_to_low,0.1,0.003875310265885147,-0.5693583565911522,0.7095952313010221,750
knn_resid_alignment_cumulant,empirical_cumulant,high_to_low,0.15,0.007429046186109815,-0.5798551659173222,0.639164158299906,750
knn_resid_alignment_cumulant,empirical_cumulant,high_to_low,0.2,-0.03198162096092592,-0.6361312427327233,0.6292064699328079,750
knn_resid_alignment_cumulant,empirical_cumulant,high_to_low,0.25,-0.045797458373781845,-0.7241538320388972,0.634255485335744,750
knn_resid_alignment_cumulant,empirical_cumulant,high_to_low,0.3,-0.02260762646755829,-0.7151147391428666,0.6855036671195185,750
knn_resid_alignment_cumulant,empirical_cumulant,high_to_low,0.35,-0.05057418539794209,-0.7401507204105807,0.6423990112493204,750
knn_resid_alignment_cumulant,empirical_cumulant,high_to_low,0.4,-0.03355599845735617,-0.7208375142167205,0.723702941120699,750
knn_resid_alignment_cumulant,empirical_cumulant,high_to_low,0.45,0.041596020481494606,-0.662828467649936,0.6800462429016749,750
knn_resid_alignment_cumulant,empirical_cumulant,high_to_low,0.5,-0.06284410525369494,-0.6755384624016331,0.696071116105688,750
knn_resid_tangential_cov_cumulant,empirical_cumulant,low_to_high,-0.5,0.05208928526164825,-0.6296635689351312,0.7461303664133591,721
knn_resid_tangential_cov_cumulant,empirical_cumulant,low_to_high,-0.45,0.048688140898009324,-0.5644134475414997,0.7031557039533437,721
knn_resid_tangential_cov_cumulant,empirical_cumulant,low_to_high,-0.4,0.009350119111469154,-0.6256387896010532,0.7211515770717776,721
knn_resid_tangential_cov_cumulant,empirical_cumulant,low_to_high,-0.35,-0.036908187960434484,-0.6861662048702386,0.6841903906786231,721
knn_resid_tangential_cov_cumulant,empirical_cumulant,low_to_high,-0.3,-0.08339200642142924,-0.6711599800271889,0.6607147788112145,721
knn_resid_tangential_cov_cumulant,empirical_cumulant,low_to_high,-0.25,-0.017117827952996097,-0.6057461434606456,0.7063924282809022,721
knn_resid_tangential_cov_cumulant,empirical_cumulant,low_to_high,-0.2,0.019321813166161435,-0.6512879152426382,0.6934707335619454,721
knn_resid_tangential_cov_cumulant,empirical_cumulant,low_to_high,-0.15,0.022607030641560444,-0.6602181627065148,0.7542028236430895,721
knn_resid_tangential_cov_cumulant,empirical_cumulant,low_to_high,-0.1,-0.0727993153866439,-0.6483801647149683,0.6484220657999538,721
knn_resid_tangential_cov_cumulant,empirical_cumulant,low_to_high,-0.05,-0.08856492951774646,-0.6811503468544109,0.6537943450246936,721
knn_resid_tangential_cov_cumulant,empirical_cumulant,low_to_high,-0.0,-0.0179517672659981,-0.6900798777678474,0.7602430603550865,721
knn_resid_tangential_cov_cumulant,empirical_cumulant,low_to_high,0.05,0.017947341611155132,-0.6333952043951795,0.6723647207941104,721
knn_resid_tangential_cov_cumulant,empirical_cumulant,low_to_high,0.1,-0.04380441496362512,-0.6983812798690281,0.6982290209259558,721
knn_resid_tangential_cov_cumulant,empirical_cumulant,low_to_high,0.15,-0.030658580853898013,-0.7092890070216751,0.5925686691715119,721
knn_resid_tangential_cov_cumulant,empirical_cumulant,low_to_high,0.2,0.03557911214067371,-0.5687713185534176,0.6995969110251358,721
knn_resid_tangential_cov_cumulant,empirical_cumulant,low_to_high,0.25,0.0498840111090787,-0.6499440264043623,0.7003777145774112,721
knn_resid_tangential_cov_cumulant,empirical_cumulant,low_to_high,0.3,0.02399348453619837,-0.5821720989193696,0.665659395010156,721
knn_resid_tangential_cov_cumulant,empirical_cumulant,low_to_high,0.35,0.09413664262879136,-0.5190890129939979,0.7381970749085583,721
knn_resid_tangential_cov_cumulant,empirical_cumulant,low_to_high,0.4,0.026469856461687973,-0.6145871094100651,0.771224216954186,721
knn_resid_tangential_cov_cumulant,empirical_cumulant,low_to_high,0.45,0.011859506330767619,-0.6251842636441961,0.7658660435949174,721
knn_resid_tangential_cov_cumulant,empirical_cumulant,low_to_high,0.5,-0.002898967738539202,-0.6436711341053137,0.7107337838984524,721
knn_resid_tangential_cov_cumulant,empirical_cumulant,high_to_low,-0.5,0.05617952968936286,-0.6222984341474377,0.7170785644198828,750
knn_resid_tangential_cov_cumulant,empirical_cumulant,high_to_low,-0.45,0.07718041704019882,-0.6681715626367898,0.7142431575647726,750
knn_resid_tangential_cov_cumulant,empirical_cumulant,high_to_low,-0.4,-0.03739991324760168,-0.6612290275481068,0.6256916929215754,750
knn_resid_tangential_cov_cumulant,empirical_cumulant,high_to_low,-0.35,-0.05816188615026526,-0.6475460815729098,0.6565662789700893,750
knn_resid_tangential_cov_cumulant,empirical_cumulant,high_to_low,-0.3,0.013127209471924636,-0.5798143149909567,0.6877306263281437,750
