replicate,variable,null_abs_transition_modulation
19,edge_minus_core_radial_signed_mean,0.044318865218305026
19,edge_high_speed_fraction_minus_core,0.026018063361901517
19,top_speed_radius_mean_z,0.030595306500305564
19,top_tangential_radius_mean_z,0.017337809995923825
19,resid_speed_gini,0.027961325903503947
19,resid_energy_shell_entropy,0.017860470017240226
20,edge_energy_share,0.018788635477013343
20,core_energy_share,0.016908668711250047
20,edge_minus_core_energy_share,0.01184017185821698
20,edge_minus_core_speed_mean,0.00838760361251123
20,edge_minus_core_speed_q75,0.0171477748957988
20,edge_minus_core_tangential_mean,0.013543913887877818
20,edge_minus_core_tangential_q75,0.025034773683250883
20,edge_minus_core_radial_abs_mean,0.0042238507016445215
20,edge_minus_core_radial_abs_q75,0.024843424096814365
20,edge_minus_core_radial_signed_mean,0.03829049838488724
20,edge_high_speed_fraction_minus_core,0.009841751201281362
20,top_speed_radius_mean_z,0.013489623344624557
20,top_tangential_radius_mean_z,0.02891501556811446
20,resid_speed_gini,0.022689716027595036
20,resid_energy_shell_entropy,0.027233421727233614
21,edge_energy_share,0.03581093404713259
21,core_energy_share,0.045851924449144155
21,edge_minus_core_energy_share,0.033355376824417665
21,edge_minus_core_speed_mean,0.031581851044412995
21,edge_minus_core_speed_q75,0.0481427746635775
21,edge_minus_core_tangential_mean,0.032221601612620276
21,edge_minus_core_tangential_q75,0.024433812762030827
21,edge_minus_core_radial_abs_mean,0.0314754084352693
21,edge_minus_core_radial_abs_q75,0.031927332747345605
21,edge_minus_core_radial_signed_mean,0.02765925878399514
21,edge_high_speed_fraction_minus_core,0.0397893624875047
21,top_speed_radius_mean_z,0.027987028451812418
21,top_tangential_radius_mean_z,0.01735463812336238
21,resid_speed_gini,0.03943538249178441
21,resid_energy_shell_entropy,0.049427672347073265
22,edge_energy_share,0.017460710393222695
22,core_energy_share,0.012676530177408607
22,edge_minus_core_energy_share,0.007871146042100763
22,edge_minus_core_speed_mean,0.027271057768945978
22,edge_minus_core_speed_q75,0.015104740118876858
22,edge_minus_core_tangential_mean,0.017002368685123698
22,edge_minus_core_tangential_q75,0.025307296012318542
22,edge_minus_core_radial_abs_mean,0.013606423733637907
22,edge_minus_core_radial_abs_q75,0.036054973272763774
22,edge_minus_core_radial_signed_mean,0.03149790929706775
22,edge_high_speed_fraction_minus_core,0.0204243170122142
22,top_speed_radius_mean_z,0.009660783404193879
22,top_tangential_radius_mean_z,0.022818301118189027
22,resid_speed_gini,0.024830968806582476
22,resid_energy_shell_entropy,0.029582048368540004
23,edge_energy_share,0.024847385588691068
23,core_energy_share,0.016533999781293274
23,edge_minus_core_energy_share,0.020356816479210338
23,edge_minus_core_speed_mean,0.015206800451361469
23,edge_minus_core_speed_q75,0.030379068542100013
23,edge_minus_core_tangential_mean,0.02365504001499205
23,edge_minus_core_tangential_q75,0.029605832763727497
23,edge_minus_core_radial_abs_mean,0.01529397694655793
23,edge_minus_core_radial_abs_q75,0.002759692248787249
23,edge_minus_core_radial_signed_mean,0.01668197606606825
23,edge_high_speed_fraction_minus_core,0.02050496000041263
