variable,n_ob,n_events,null_median_pre_minus_baseline_z,null_sign_consistency_pre_minus_baseline_z,null_median_event_minus_baseline_z,null_sign_consistency_event_minus_baseline_z,null_median_post_minus_baseline_z,null_sign_consistency_post_minus_baseline_z,null_median_follow_minus_baseline_z,null_sign_consistency_follow_minus_baseline_z,null_median_post_minus_pre_z,null_sign_consistency_post_minus_pre_z,null_pre_to_post_abs_ratio,replicate
edge_minus_core_resid_tangential,19,1467,-0.022539788707090808,0.5789473684210527,-0.06580145256964923,0.5789473684210527,0.028137243641590804,0.631578947368421,-0.04126597507154785,0.631578947368421,-0.012248126497055402,0.5263157894736842,0.8010659819490573,46
edge_minus_core_resid_speed,19,1467,-0.04256099333350105,0.5789473684210527,-0.019059425680284178,0.631578947368421,-0.06707535967338117,0.631578947368421,0.07760974031127708,0.6842105263157895,-0.08542813388763487,0.631578947368421,0.6345250109838974,46
edge_minus_core_resid_tangential,19,1470,0.023017034572630546,0.5789473684210527,-0.03565664671265595,0.631578947368421,0.013802004791005629,0.5263157894736842,-0.031048509868735655,0.5263157894736842,0.0056375872322340925,0.5789473684210527,1.667658787340089,47
edge_minus_core_resid_speed,19,1470,-0.0168181045535805,0.5263157894736842,-0.02833406884371048,0.5789473684210527,-0.07860913992541858,0.631578947368421,0.07514486398950174,0.7894736842105263,-0.048824788272220525,0.631578947368421,0.21394591735181037,47
edge_minus_core_resid_speed,19,1467,-0.06354067911879355,0.631578947368421,0.024424220583548276,0.5263157894736842,0.10531539498944648,0.7368421052631579,-0.004028217157862279,0.5263157894736842,0.02901806861005335,0.631578947368421,0.6033370441725151,48
edge_minus_core_resid_tangential,19,1467,0.0027336144117637157,0.5263157894736842,0.029964566540071944,0.5789473684210527,0.010016361029504442,0.5263157894736842,-0.03105554123529498,0.5263157894736842,0.07875519981093809,0.5789473684210527,0.2729149242635637,48
edge_minus_core_resid_tangential,19,1466,-0.012093825165502933,0.5263157894736842,-0.01932894468034321,0.5263157894736842,-0.024228378086079472,0.631578947368421,-0.056220369268395895,0.631578947368421,-0.05407679551813526,0.5789473684210527,0.4991595030643631,49
edge_minus_core_resid_speed,19,1466,-0.12921789310630866,0.5789473684210527,0.028145098952627623,0.5789473684210527,-0.02847541546840556,0.6842105263157895,-0.008769817309100418,0.5263157894736842,0.008283879219386975,0.5263157894736842,4.537875601839077,49
edge_minus_core_resid_speed,19,1464,-0.0517482226060012,0.631578947368421,0.012840863020989524,0.5263157894736842,-0.0023706525463327854,0.5263157894736842,-0.09227863319817886,0.631578947368421,-0.0202366419288246,0.5263157894736842,21.828682860359127,50
edge_minus_core_resid_tangential,19,1464,-0.04781478830548275,0.6842105263157895,0.023905642138983163,0.5263157894736842,-0.003128461131583715,0.5263157894736842,-0.0236349096672685,0.6842105263157895,0.03975185542030035,0.5263157894736842,15.283804495048194,50
edge_minus_core_resid_speed,19,1467,0.044816857923150044,0.631578947368421,-0.016074910907394782,0.5789473684210527,-0.0012540545508130663,0.5263157894736842,-0.012858086895159965,0.631578947368421,0.08310856976495601,0.631578947368421,35.73756651502364,51
edge_minus_core_resid_tangential,19,1467,0.04631358453168176,0.631578947368421,-0.009124316562774959,0.5263157894736842,-0.02209688804771838,0.5789473684210527,-0.0004527360258568397,0.5263157894736842,-0.029922760156061032,0.5263157894736842,2.0959324422365384,51
edge_minus_core_resid_speed,19,1471,-0.022474763223995664,0.631578947368421,-0.0784567230830876,0.631578947368421,-0.010278468425949594,0.5263157894736842,-0.040092653167764974,0.5789473684210527,-0.027845897676984747,0.5789473684210527,2.1865867843943194,52
edge_minus_core_resid_tangential,19,1471,0.019304992313667446,0.5263157894736842,-0.027266975178089625,0.5789473684210527,-0.028915293922229544,0.5789473684210527,-0.06112246474599477,0.5789473684210527,0.04367948392911518,0.5789473684210527,0.6676394978238878,52
edge_minus_core_resid_speed,19,1469,0.01921194986056044,0.5263157894736842,0.024442158379057277,0.631578947368421,-0.024049885060860254,0.631578947368421,0.05639051828408849,0.5789473684210527,-0.11868209421986145,0.631578947368421,0.798837491819316,53
edge_minus_core_resid_tangential,19,1469,0.025883620471497268,0.5789473684210527,-0.0028577812337157588,0.5263157894736842,-0.04470708108055603,0.6842105263157895,0.058609399814888385,0.631578947368421,-0.0064908234092261735,0.5263157894736842,0.5789601970403421,53
