ob,dataset,lag_sec,n_events,event_median_A_z,control_median_A_z,delta_median_A_z
6,Ob6.txt,0.1,112,0.05420946435022355,0.0047856610505027,0.04942380329972085
6,Ob6.txt,0.2,112,-0.041833643643386154,0.1075294035553033,-0.14936304719868945
6,Ob6.txt,0.3,112,-0.104500141860108,-0.15558657311249915,0.05108643125239115
6,Ob6.txt,0.4,112,-0.10718193536362336,-0.0085397922988606,-0.09864214306476277
6,Ob6.txt,0.5,112,-0.2022697353462627,0.0047856610505027,-0.2070553963967654
7,Ob7.txt,-0.5,33,0.1445095950271138,0.0752130365995506,0.0692965584275632
7,Ob7.txt,-0.4,33,-0.0500864309092131,0.1346447757882928,-0.1847312066975059
7,Ob7.txt,-0.3,33,0.0030973668490141,0.5647248939251551,-0.561627527076141
7,Ob7.txt,-0.2,33,0.252897726030085,0.5884148701082778,-0.3355171440781928
7,Ob7.txt,-0.1,33,-0.0400628709277661,0.0017794970546142,-0.0418423679823803
7,Ob7.txt,-0.0,33,0.3775701702450046,0.0333672304215188,0.3442029398234858
7,Ob7.txt,0.1,33,-0.0325158594007508,-0.001098996862234,-0.031416862538516804
7,Ob7.txt,0.2,33,0.0734522438439234,0.100208236564862,-0.026755992720938593
7,Ob7.txt,0.3,33,-0.3830891251984387,0.2989774352501713,-0.68206656044861
7,Ob7.txt,0.4,33,-0.1253440418799241,0.151438594206022,-0.2767826360859461
7,Ob7.txt,0.5,33,-0.133173837039069,0.0170038365700361,-0.15017767360910508
8,Ob8.txt,-0.5,82,0.10100276930068855,0.2849879676638821,-0.18398519836319358
8,Ob8.txt,-0.4,82,0.12026046339957,0.1483749039799759,-0.02811444058040591
8,Ob8.txt,-0.3,82,0.0329065876449616,0.2220269550851735,-0.1891203674402119
8,Ob8.txt,-0.2,82,-0.22260968459592817,0.0685558390180567,-0.29116552361398484
8,Ob8.txt,-0.1,83,-0.0509702557931182,0.0588186251238014,-0.1097888809169196
8,Ob8.txt,-0.0,83,-0.0490688884121901,0.1471293877084191,-0.1961982761206092
8,Ob8.txt,0.1,83,0.1310381669915033,-0.0653625014042198,0.19640066839572312
8,Ob8.txt,0.2,83,0.1505438500665066,0.1981764326913484,-0.047632582624841796
8,Ob8.txt,0.3,83,0.2013093245365144,0.0815406930666326,0.1197686314698818
8,Ob8.txt,0.4,83,0.0682987319224979,0.0436738083407329,0.024624923581764997
8,Ob8.txt,0.5,83,-0.0259235335714856,-0.051442556687207,0.0255190231157214
9,Ob9.txt,-0.5,35,0.134567015952144,-0.0477981125330278,0.18236512848517178
9,Ob9.txt,-0.4,35,0.3987726146058674,-0.3988789749167375,0.7976515895226048
9,Ob9.txt,-0.3,36,0.0435406860424353,0.01727528761000635,0.02626539843242895
9,Ob9.txt,-0.2,36,0.18219675979337469,0.02863947389111835,0.15355728590225634
9,Ob9.txt,-0.1,36,0.0371524607570304,0.15521720499092206,-0.11806474423389166
9,Ob9.txt,-0.0,36,0.0238378990680082,0.0506402994201391,-0.026802400352130898
9,Ob9.txt,0.1,36,0.05956337401887325,0.12291676462624855,-0.0633533906073753
9,Ob9.txt,0.2,36,0.17481180959041487,-0.09928114299144615,0.274092952581861
9,Ob9.txt,0.3,36,0.13930744504741374,-0.3133887796256043,0.45269622467301807
9,Ob9.txt,0.4,36,-0.2001473926108551,0.0836982505288407,-0.2838456431396958
9,Ob9.txt,0.5,36,0.11550664642819719,-0.1378979908866943,0.2534046373148915
10,Ob10.txt,-0.5,36,-0.13202239290325174,0.44547905804006327,-0.577501450943315
10,Ob10.txt,-0.4,36,-0.06549401187703405,0.1378301736943237,-0.20332418557135776
10,Ob10.txt,-0.3,36,0.045981934595748945,0.43724970706158484,-0.3912677724658359
10,Ob10.txt,-0.2,36,-0.2585234109831809,0.23132776901188284,-0.4898511799950637
10,Ob10.txt,-0.1,36,0.049202747808154396,0.0625397715108926,-0.013337023702738204
10,Ob10.txt,-0.0,36,-0.1650664655313676,0.027820316959818053,-0.19288678249118565
10,Ob10.txt,0.1,36,0.03173174918481325,0.2413695210672516,-0.20963777188243835
10,Ob10.txt,0.2,36,0.5014393602735187,0.29282905585713237,0.20861030441638628
10,Ob10.txt,0.3,35,-0.1574833826496408,0.4366014812456118,-0.5940848638952526
10,Ob10.txt,0.4,35,0.001381248736671,-0.137883600750221,0.139264849486892
10,Ob10.txt,0.5,35,0.1859495506873941,-0.0379154996414258,0.2238650503288199
11,Ob11.txt,-0.5,114,-0.0071379297299153,0.1429036887029119,-0.1500416184328272
11,Ob11.txt,-0.4,114,0.02603093102303005,-0.12980050588228337,0.15583143690531343
11,Ob11.txt,-0.3,114,-0.07455511523434549,-0.0735381660862657,-0.0010169491480797876
11,Ob11.txt,-0.2,115,0.0070036727699342,-0.0825583808206049,0.0895620535905391
11,Ob11.txt,-0.1,115,-0.0154103797327264,-0.2805377239538216,0.2651273442210952
11,Ob11.txt,-0.0,115,0.0436979889871853,-0.387769660092631,0.4314676490798163
11,Ob11.txt,0.1,115,0.042601368945914,-0.0764307841835283,0.1190321531294423
11,Ob11.txt,0.2,115,-0.0445005137290802,-0.2521726152277354,0.20767210149865517
11,Ob11.txt,0.3,115,0.1048307103289081,-0.0173360338952557,0.1221667442241638
11,Ob11.txt,0.4,115,0.0830207655994615,0.0398434834009041,0.043177282198557404
11,Ob11.txt,0.5,115,0.1297355029051329,0.2281739297183057,-0.0984384268131728
12,Ob12.txt,-0.5,87,0.1354059371876109,-0.2347858853289882,0.3701918225165991
12,Ob12.txt,-0.4,87,0.0142126813210221,0.0345882858436315,-0.0203756045226094
12,Ob12.txt,-0.3,87,-0.0659022237927736,0.2092411749195083,-0.2751433987122819
12,Ob12.txt,-0.2,87,-0.1478577717550832,0.050567671942592,-0.19842544369767517
12,Ob12.txt,-0.1,87,-0.0567792098639591,0.2922169220951204,-0.3489961319590795
12,Ob12.txt,-0.0,87,-0.1008260668311686,0.2483972326517281,-0.3492232994828967
12,Ob12.txt,0.1,86,0.0315857513174043,0.2889209199517976,-0.25733516863439326
12,Ob12.txt,0.2,86,0.01809985564599545,0.22497833398862005,-0.2068784783426246
12,Ob12.txt,0.3,86,-0.043656124039038555,0.2133773556022005,-0.25703347964123907
12,Ob12.txt,0.4,86,0.06267287668461075,0.13492252827626625,-0.0722496515916555
12,Ob12.txt,0.5,86,0.05027616309530415,0.12880778925559794,-0.07853162616029379
13,Ob13.txt,-0.5,96,0.1481615048961636,-0.1595881623678737,0.3077496672640373
13,Ob13.txt,-0.4,96,0.16496651529528272,0.06449698868021946,0.10046952661506327
13,Ob13.txt,-0.3,96,0.17630933726526948,0.12098910554566254,0.05532023171960694
13,Ob13.txt,-0.2,96,0.185053950214,0.08870526410453375,0.09634868610946626
13,Ob13.txt,-0.1,96,-0.0212385587179688,-0.2301041539723917,0.2088655952544229
13,Ob13.txt,-0.0,96,0.09734504282185535,-0.12822415147689065,0.225569194298746
13,Ob13.txt,0.1,96,0.15237198385990405,-0.2231554978086473,0.3755274816685513
13,Ob13.txt,0.2,96,-0.0233339764838455,-0.22188059829804835,0.19854662181420285
13,Ob13.txt,0.3,96,-0.05593044500588305,0.0971466266697074,-0.15307707167559045
13,Ob13.txt,0.4,96,-0.18931372894514376,0.072403300573213,-0.26171702951835674
13,Ob13.txt,0.5,95,0.0231376173371176,0.2183266220787757,-0.1951890047416581
14,Ob14.txt,-0.5,47,0.0336990147503169,-0.0548355869045051,0.08853460165482199
14,Ob14.txt,-0.4,47,-0.2094744333898306,-0.1196704574920896,-0.089803975897741
14,Ob14.txt,-0.3,47,-0.2247924718191356,-0.0569401670306109,-0.1678523047885247
14,Ob14.txt,-0.2,47,-0.1859108243938015,0.4946830672850443,-0.6805938916788458
14,Ob14.txt,-0.1,47,0.0766878408929037,0.1332978319030598,-0.0566099910101561
14,Ob14.txt,-0.0,47,-0.2655670565097174,-0.1068091371435815,-0.1587579193661359
14,Ob14.txt,0.1,47,-0.1522746443840425,-0.0431267774111994,-0.10914786697284311
14,Ob14.txt,0.2,47,0.0436618178337549,-0.2348284338630906,0.2784902516968455
14,Ob14.txt,0.3,47,0.0280171098202778,-0.142827524761074,0.1708446345813518
14,Ob14.txt,0.4,47,-0.3646699303111263,-0.1095883701055945,-0.25508156020553185
14,Ob14.txt,0.5,47,-0.043869782444033,0.20213733764222,-0.246007120086253
15,Ob15.txt,-0.5,93,0.0354672609468984,-0.1119523104094709,0.1474195713563693
15,Ob15.txt,-0.4,93,0.0474266303975238,0.0984153332369401,-0.0509887028394163
15,Ob15.txt,-0.3,93,-0.0606605993985854,0.3442342037574763,-0.40489480315606174
15,Ob15.txt,-0.2,93,-0.1236761515641778,0.1635583123414075,-0.28723446390558527
15,Ob15.txt,-0.1,93,-0.2610452618971442,0.3211315325968925,-0.5821767944940367
15,Ob15.txt,-0.0,93,-0.0196291018823403,0.1832993035032503,-0.2029284053855906
15,Ob15.txt,0.1,93,-0.007141488728559,0.1234858696504973,-0.1306273583790563
15,Ob15.txt,0.2,92,-0.1367338674619027,-0.16036000684243928,0.023626139380536593
15,Ob15.txt,0.3,92,-0.11096258053267041,-0.021884895889543,-0.08907768464312742
15,Ob15.txt,0.4,92,-0.09619294525369251,-0.1325106225461774,0.03631767729248489
15,Ob15.txt,0.5,92,-0.027632052423456798,-0.1563948972517148,0.128762844828258
16,Ob16.txt,-0.5,83,-0.1554254133301119,0.2561371945975967,-0.4115626079277086
16,Ob16.txt,-0.4,83,0.2501050148404297,0.1597673017382994,0.09033771310213029
16,Ob16.txt,-0.3,83,0.0604900726207794,0.0880783220448803,-0.027588249424100895
16,Ob16.txt,-0.2,83,-0.1128814818288113,0.2282324787861447,-0.341113960614956
16,Ob16.txt,-0.1,83,-0.1948815035288423,-0.0543228614237122,-0.14055864210513008
16,Ob16.txt,-0.0,83,0.0707632572376904,-0.2700309138510994,0.3407941710887898
16,Ob16.txt,0.1,83,-0.0319704364170047,-0.2123151181108629,0.1803446816938582
16,Ob16.txt,0.2,83,0.145443781081632,-0.3484225993931642,0.49386638047479625
16,Ob16.txt,0.3,83,0.2211119756928848,-0.1286519251134828,0.3497639008063676
16,Ob16.txt,0.4,83,0.2553007565459022,-0.3330372332987351,0.5883379898446373
16,Ob16.txt,0.5,83,0.1683814122138526,-0.095342488201653,0.26372390041550564
17,Ob17.txt,-0.5,120,-0.14650456514887916,-0.0896126126249199,-0.05689195252395926
17,Ob17.txt,-0.4,120,-0.061944146051894994,0.078199287549562,-0.14014343360145698
17,Ob17.txt,-0.3,120,-0.0096489669142265,-0.0466820550115366,0.037033088097310096
17,Ob17.txt,-0.2,120,0.0788073240200278,-0.3565779607141249,0.4353852847341527
17,Ob17.txt,-0.1,120,-0.1203912192486303,-0.3009271176020945,0.1805358983534642
17,Ob17.txt,-0.0,120,0.06968988786860195,-0.46350993994316825,0.5331998278117702
17,Ob17.txt,0.1,120,0.22519802798992972,-0.5977579650225848,0.8229559930125145
17,Ob17.txt,0.2,120,0.18902727964281135,-0.2864473598374754,0.47547463948028673
17,Ob17.txt,0.3,120,-0.0045616377981538,0.0012523038766046,-0.005813941674758401
17,Ob17.txt,0.4,120,-0.0019155716255915,-0.1379975091650813,0.1360819375394898
17,Ob17.txt,0.5,120,0.08381540891177494,-0.1999938918406594,0.2838093007524344
18,Ob18.txt,-0.5,100,0.20882289547012461,0.02297913512421965,0.18584376034590497
18,Ob18.txt,-0.4,100,-0.01739195884000345,0.0249629289368535,-0.04235488777685695
18,Ob18.txt,-0.3,100,0.10605583342970784,0.0812238534410783,0.024831979988629543
18,Ob18.txt,-0.2,100,-0.0297750701800134,-0.1892651075998127,0.15949003741979928
18,Ob18.txt,-0.1,100,0.03987961108681485,0.0866599073061104,-0.046780296219295546
18,Ob18.txt,-0.0,100,-0.10627060466262189,0.577966981399527,-0.6842375860621488
18,Ob18.txt,0.1,100,-0.2000207145389904,0.4837932634810289,-0.6838139780200193
18,Ob18.txt,0.2,100,-0.14885439723751065,0.10264005112247165,-0.2514944483599823
18,Ob18.txt,0.3,100,0.21368077854682566,0.09841325616960644,0.11526752237721921
18,Ob18.txt,0.4,100,-0.16397977362904145,-0.17988512649626182,0.015905352867220363
18,Ob18.txt,0.5,100,-0.18666119428855338,0.2939079755847847,-0.4805691698733381
19,Ob19.txt,-0.5,141,-0.1481973555125169,-0.0773338654766675,-0.0708634900358494
19,Ob19.txt,-0.4,141,0.0126190408366521,-0.0097788140400889,0.022397854876741
19,Ob19.txt,-0.3,141,-0.0748593325592565,-0.0097788140400889,-0.0650805185191676
19,Ob19.txt,-0.2,142,-0.170851081388814,-0.05925890279918765,-0.11159217858962635
19,Ob19.txt,-0.1,143,-0.0826182010164216,0.0025054266479926,-0.0851236276644142
19,Ob19.txt,-0.0,143,-0.1012393442012142,0.1124517088987605,-0.2136910530999747
19,Ob19.txt,0.1,143,-0.0407849815237137,0.2521551094513536,-0.2929400909750673
19,Ob19.txt,0.2,143,-0.0145151435963945,0.2437815624073631,-0.2582967060037576
19,Ob19.txt,0.3,143,0.0173573222952609,-0.0453953350951328,0.0627526573903937
19,Ob19.txt,0.4,143,0.0946329230680114,0.0648564491646756,0.029776473903335793
19,Ob19.txt,0.5,143,-0.0542457037915092,0.0711508367503729,-0.1253965405418821
